Campaign,Hour of the day,Clicks
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,10,737
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,10,867
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,10,303
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,10,195
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,10,20
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,10,111
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,10,67
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,10,96
Course - System Thinking - Run 17 - Search - Prospecting - USA,10,305
Course - System Thinking - Run 17 - Search - Prospecting - A,10,286
Course - System Thinking - Run 17 - Search - Prospecting - B,10,522
Lifetime Campaign - Leadership Principles  - US (Run 3),11,291
Lifetime Campaign - Leadership Principles  - A (Run 3),11,205
Lifetime Campaign - Leadership Principles  - B (Run 3),11,667
Lifetime Campaign - Leadership Principles  - C (Run 3),11,302
Lifetime Campaign - Organizational Strategy  - US (Run 1),11,208
Lifetime Campaign - Organizational Strategy  - A (Run 1),11,95
Lifetime Campaign - Organizational Strategy  - C (Run 1),11,85
Lifetime Campaign - Organizational Strategy  - B (Run 1),11,244
Course - System Thinking - Run 12 - Search - Lead Gen - US,11,"2,915"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,11,"2,116"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,11,"2,581"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,11,295
Lifetime Campaign - Technical Innovation  - B (Run 1),11,66
Lifetime Campaign - Technical Innovation  - US (Run 1),11,112
Lifetime Campaign - Technical Innovation  - A (Run 1),11,66
Lifetime Campaign - Technical Innovation  - C (Run 1),11,48
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,11,732
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,11,626
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,11,889
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,11,317
