Device report
1 June 2022 - 9 February 2026
Campaign,Country/Territory (User location),Clicks
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Japan,44
Course - System Thinking - Run 14 - Display - Webinar - B,Austria,12
Course - System Thinking - Run 14 - Display - Webinar - B,Thailand,1
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Colombia,5
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Chile,2
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Germany,"3,108"
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Austria,9
Course - System Thinking - Run 17 - Search - Prospecting - B,Iceland,1
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Bahrain,10
Course - System Thinking - Run 17 - Search - Prospecting - A,Japan,78
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Saint Vincent and the Grenadines,1
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Thailand,20
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,South Korea,0
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Jordan,17
Course - System Thinking - Run 12 - Discovery - Webinar - US,United States,170
Course - System Thinking - Run 11 - Display - Remarketing - WW,Equatorial Guinea,44
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Hungary,34
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Taiwan,22
Course - System Thinking - Run 11 - Display - Remarketing - WW,Mayotte,3
Course - System Thinking - Run 14 - Display - Webinar - B,Iceland,10
Course - System Thinking - Run 14 - Display - Webinar - B,Italy,176
Course - System Thinking - Run 11 - Display - Remarketing - WW,Saint Martin,5
Course - System Thinking - Run 11 - Display - Remarketing - WW,Bhutan,507
Course - System Thinking - Run 17 - Search - Prospecting - B,Greece,9
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Ireland,2
Course - System Thinking - Run 11 - Display - Remarketing - WW,Burundi,309
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Tanzania,330
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Sudan,5
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Papua New Guinea,8
Course - System Thinking - Run 12 - Display - Remarketing - B,Qatar,49
Course - System Thinking - Run 17 - Search - Prospecting - B,Israel,1
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Iceland,118
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Singapore,3
Course - System Thinking - Run 11 - Display - Remarketing - WW,Chile,206
Course - System Thinking - Run 16 - Display - Remarketing - B,South Korea,12
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Senegal,45
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Belgium,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Cayman Islands,1
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Mexico,596
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Uganda,215
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Philippines,89
Course - System Thinking - Run 12 - Display - Remarketing - B,Mexico,138
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Maldives,8
Course - System Thinking - Run 14 - Display - Webinar - A,South Africa,791
Course - System Thinking - Run 16 - Display - Remarketing - B,Czechia,0
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,Canada,60
Course - System Thinking - Run 11 - Display - Remarketing - WW,Honduras,221
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Turkiye,364
Course - System Thinking - Run 12 - Discovery - Webinar - A,Finland,2
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Cote d'Ivoire,5
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Niger,8
Course - System Thinking - Run 11 - Discovery - Webinar - US,United Arab Emirates,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Comoros,1
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Seychelles,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Botswana,112
Course - System Thinking - Run 11 - Display - Remarketing - WW,Ecuador,713
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,New Zealand,127
Course - System Thinking - Run 11 - Display - Remarketing - WW,Seychelles,17
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Denmark,666
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Tanzania,49
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Caribbean Netherlands,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Bangladesh,"30,429"
Course - System Thinking - Run 17 - Search - Prospecting - B,Trinidad and Tobago,7
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Cyprus,15
Course - System Thinking - Run 17 - Search - Prospecting - B,Pakistan,"3,928"
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Uganda,691
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Laos,8
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Canada,"1,488"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,British Virgin Islands,0
Course - System Thinking - Run 16 - Display - Remarketing - B,Colombia,31
Course - System Thinking - Run 11 - Display - Remarketing - WW,Saudi Arabia,"1,684"
Course - System Thinking - Run 17 - Demand Gen - RM - A,Japan,11
Course - System Thinking - Run 11 - Display - Remarketing - WW,Caribbean Netherlands,28
Course - System Thinking - Run 11 - Display - Remarketing - WW,Latvia,10
Course - System Thinking - Run 17 - Search - Prospecting - A,Denmark,15
Course - System Thinking - Run 14 - Display - Webinar - B,Uganda,60
Course - System Thinking - Run 11 - Display - Remarketing - WW,Mali,202
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A,Denmark,73
Course - System Thinking - Run 11 - Display - Remarketing - WW,Italy,320
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Austria,4
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Tunisia,347
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Senegal,14
Course - System Thinking - Run 16 - Display - Remarketing - A,Sweden,4
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Estonia,19
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A,Spain,243
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Ethiopia,162
Course - System Thinking - Run 16 - Display - Remarketing - B,Hungary,0
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Hong Kong,34
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Canada,655
Course - System Thinking - Run 11 - Display - Remarketing - WW,Senegal,997
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Norway,0
Course - System Thinking - Run 17 - Search - Prospecting - B,Turkiye,78
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Iran,108
Course - System Thinking - Run 12 - Display - Remarketing - A,Japan,153
Course - System Thinking - Run 16 - Display - Remarketing - B,Croatia,0
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Sweden,20
Course - System Thinking - Run 12 - Discovery - Webinar - B,Philippines,"2,274"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Hungary,43
Course - System Thinking - Run 11 - Display - Remarketing - WW,Iran,"2,914"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Norfolk Island,0
Course - System Thinking - Run 17 - Search - Prospecting - B,Morocco,122
Course - System Thinking - Run 12 - Discovery - Webinar - B,Canada,26
Course - System Thinking - Run 12 - Search - Lead Gen - US,United States,"26,317"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Sri Lanka,64
Course - System Thinking - Run 12 - Display - Remarketing - A,Canada,178
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Zimbabwe,111
Course - System Thinking - Run 11 - Display - Remarketing - WW,Liberia,"1,112"
Course - System Thinking - Run 12 - Discovery - Webinar - A,Sweden,3
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A,Belgium,105
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Peru,4
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Hong Kong,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Martinique,5
Course - System Thinking - Run 14 - Display - Webinar - B,Israel,2
Course - System Thinking - Run 16 - Display - Remarketing - B,Pakistan,"1,779"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Hong Kong,70
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Finland,6
Course - System Thinking - Run 17 - Search - Prospecting - B,Tanzania,313
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Haiti,158
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Japan,829
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,France,978
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Trinidad and Tobago,1
Course - System Thinking - Run 17 - Search - Prospecting - B,Jordan,19
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Philippines,336
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Italy,1
Course - System Thinking - Run 14 - Display - Webinar - B,Japan,39
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Suriname,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Chad,22
Course - System Thinking - Run 16 - Display - Remarketing - B,Malaysia,45
Course - System Thinking - Run 12 - Discovery - Webinar - B,China,4
Course - System Thinking - Run 11 - Display - Remarketing - WW,Lithuania,8
Course - System Thinking - Run 12 - Discovery - Webinar - B,Spain,63
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A,Italy,230
Course - System Thinking - Run 11 - Display - Remarketing - WW,Cote d'Ivoire,494
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Israel,1
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Tanzania,44
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Bolivia,6
Course - System Thinking - Run 11 - Display - Remarketing - WW,Iraq,"1,766"
Course - System Thinking - Run 14 - Display - Webinar - B,New Zealand,18
Course - System Thinking - Run 12 - Discovery - Webinar - B,Iceland,3
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,Belgium,1
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Singapore,2
Course - System Thinking - Run 11 - Display - Remarketing - WW,Northern Mariana Islands,11
Course - System Thinking - Run 16 - Display - Remarketing - USA,Canada,477
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Lithuania,0
Course - System Thinking - Run 14 - Display - Webinar - B,Mexico,329
Course - System Thinking - Run 14 - Display - Webinar - B,Bangladesh,171
Course - System Thinking - Run 17 - Search - Prospecting - B,Romania,7
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Indonesia,67
