Device report
All time
Campaign,Age,Clicks
Lifetime Campaign - Leadership Principles  - B (Run 3),25 - 34,"5,953"
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Unknown,260
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,18 - 24,578
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,45 - 54,89
Lifetime Campaign - Organizational Strategy  - B (Run 1),65+,0
Lifetime Campaign - Technical Innovation  - B (Run 1),25 - 34,492
Lifetime Campaign - Technical Innovation  - US (Run 1),45 - 54,296
Lifetime Campaign - Organizational Strategy  - US (Run 1),25 - 34,"1,248"
Lifetime Campaign - Organizational Strategy  - US (Run 1),55 - 64,213
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Unknown,"12,337"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,25 - 34,"10,432"
Course - System Thinking - Run 12 - Search - Lead Gen - US,25 - 34,"9,443"
Lifetime Campaign - Technical Innovation  - US (Run 1),65+,33
Lifetime Campaign - Leadership Principles  - US (Run 3),Unknown,"1,153"
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Unknown,96
Lifetime Campaign - Organizational Strategy  - B (Run 1),25 - 34,"1,691"
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,55 - 64,26
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,35 - 44,"2,806"
Lifetime Campaign - Organizational Strategy  - B (Run 1),Unknown,801
Lifetime Campaign - Leadership Principles  - B (Run 3),65+,0
Lifetime Campaign - Leadership Principles  - B (Run 3),55 - 64,495
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,35 - 44,130
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,35 - 44,"11,867"
Lifetime Campaign - Leadership Principles  - US (Run 3),25 - 34,"1,012"
Lifetime Campaign - Technical Innovation  - US (Run 1),25 - 34,467
Course - System Thinking - Run 17 - Search - Prospecting - A,18 - 24,"1,730"
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,55 - 64,806
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,45 - 54,"6,784"
Lifetime Campaign - Organizational Strategy  - US (Run 1),18 - 24,0
Lifetime Campaign - Organizational Strategy  - B (Run 1),45 - 54,650
Lifetime Campaign - Technical Innovation  - C (Run 1),25 - 34,333
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,65+,190
Course - System Thinking - Run 17 - Search - Prospecting - B,45 - 54,292
