Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19
best ai classes online,-0.82500637,-0.030432768,-0.2915812,0.1544428,0.15940255,-0.14949016,0.20510739,-0.06699646,-0.16768718,0.11437028,0.05129814,0.07051168,-0.007430341,0.06708543,-0.16977167,0.085825935,0.040846027,-0.14255254,0.044911485,-0.04121059
artificial intelligence for leadership,-0.6080686,-0.058046218,0.31322613,0.32783258,-0.05775296,-0.10810179,0.05045417,0.20058076,0.3254062,-0.14178772,0.24287505,0.19081889,-0.05017667,0.1625319,-0.16351357,-0.08413318,-0.20617908,0.12839611,-0.006423578,0.14254667
stanford generative ai course,-0.86579955,0.3859544,-0.01808622,-0.04225755,-0.08699974,-0.044522986,-0.05777877,0.10839115,0.14992186,0.03213124,-0.13856749,-0.11050573,-0.0454352,0.07619499,0.056219798,-0.033572607,0.029390885,-0.05833402,0.010410944,-0.056788392
bootcamp ai,-0.6721419,-0.10238603,0.072036654,0.20681599,0.0570942,-0.13314347,-0.11989385,-0.26601857,-0.023388691,0.3322591,0.036979042,0.25014734,-0.06100555,0.12126915,0.28420028,-0.060662523,-0.21798581,-0.08011867,0.22758202,0.012673428
generative ai course stanford,-0.8734679,0.4030651,0.00923233,-0.04425215,-0.08082105,-0.015187124,-0.06270295,0.08281965,0.14724633,0.039709777,-0.10767744,-0.093172446,-0.036204174,0.045921978,0.029956171,-0.04973862,0.023271458,-0.013955473,0.0072359024,-0.062305022
course generative ai,-0.86526096,0.37915665,-0.081891686,-0.041596618,-0.08565731,0.10206374,-0.017789587,-0.060434677,0.17539646,0.059877016,-0.04736436,0.062156055,-0.023394922,-0.085537635,-0.07346741,-0.10885152,-0.07743858,0.07611243,0.0064337812,0.0026348797
artificial intelligence workshop,-0.80658925,-0.027805906,0.06185865,0.15221763,0.06514137,-0.27266118,-0.24017689,0.052201778,0.15635529,0.24664865,0.25548118,-0.066844575,-0.021670047,-0.05490747,-0.06064417,-0.08543658,0.015337945,0.068398215,-0.088323794,0.0211855
best generative ai course,-0.8942371,0.38409126,-0.055112664,-0.018611908,-0.016448546,0.13368316,-0.0471005,0.08384359,-0.010844346,0.028416058,0.028067902,0.0050245672,-0.010395572,0.06051261,-0.07516839,0.06468145,-0.049259067,-0.039105464,0.045069445,-0.02666998
certification in machine learning and ai,-0.6940554,-0.40483493,0.01149533,-0.25740674,0.34203085,0.18147415,-0.09970121,0.04332287,0.032683626,0.081671976,-0.039333586,0.13396505,-0.20239624,-0.07959424,0.042149715,-0.0883106,0.14314522,0.002338336,0.12715352,-0.07415558
artificial intelligence stanford online,-0.72360754,-0.009943574,-0.034057654,0.08027405,0.04020459,-0.5635667,-0.022530194,0.116069645,0.20705715,0.042995453,-0.09693208,-0.11820118,-0.103877984,0.16433394,-0.07330408,-0.07041595,0.061036006,-0.0864437,-0.011388652,-0.08911496
artificial intelligence summer course,-0.87792,-0.08429613,-0.23164998,0.17507881,-0.10488534,-0.11016813,-0.15932174,0.089633025,0.048813667,0.09977954,0.07967605,-0.08794867,-0.061529428,-0.04826321,0.06507611,-0.11057329,-0.0389454,0.172255,-0.0143712275,-0.02978936
best courses on generative ai,-0.84387934,0.408311,-0.08324634,-0.060886554,0.03922876,0.17245376,-0.051519763,0.15271378,-0.13172376,-0.07354652,0.03879637,0.03245142,-0.012468612,0.07375355,0.04110204,0.11120274,-0.007334701,-0.08199826,0.011697363,-0.037073273
generative ai course online,-0.8807276,0.38930476,-0.1832798,0.010055305,0.095829055,-0.0817706,0.08397043,-0.0697488,-0.009199204,-0.04316713,-0.03529627,-0.010692976,-0.0062838537,0.004454349,-0.053233873,0.051772255,-0.003854912,0.024029888,-0.013291894,0.0403937
