keyword_idx,region,match_type
1035,B,Phrase match
1043,A,Broad match
1043,B,Broad match
1043,B,Phrase match
1046,USA,Broad match
1046,USA,Phrase match
1046,A,Broad match
1046,A,Exact match
1046,A,Phrase match
1046,B,Broad match
1046,B,Exact match
1046,B,Phrase match
1046,C,Broad match
1046,C,Exact match
1046,C,Phrase match
1048,A,Broad match
1048,B,Broad match
1048,B,Phrase match
1050,A,Broad match
1050,B,Broad match
1050,C,Broad match
1052,USA,Broad match
1052,A,Broad match
1052,A,Exact match
1052,A,Phrase match
1052,B,Broad match
1052,B,Exact match
1052,B,Phrase match
1052,C,Broad match
1054,B,Broad match
1059,A,Broad match
1059,B,Broad match
1061,B,Broad match
1062,USA,Broad match
1062,A,Broad match
1062,B,Broad match
1062,B,Phrase match
1062,C,Broad match
1062,C,Phrase match
1068,USA,Broad match
1068,USA,Phrase match
1068,A,Broad match
1068,A,Phrase match
1068,B,Broad match
1068,B,Phrase match
1068,C,Broad match
1068,C,Exact match
1068,C,Phrase match
1071,USA,Broad match
1071,USA,Phrase match
1071,A,Broad match
1071,B,Broad match
1071,B,Phrase match
1071,C,Broad match
1073,USA,Broad match
1073,USA,Exact match
1073,USA,Phrase match
1073,A,Broad match
1073,A,Phrase match
1073,B,Broad match
1073,B,Exact match
1073,B,Phrase match
1073,C,Broad match
1073,C,Exact match
1073,C,Phrase match
1074,A,Broad match
1074,A,Phrase match
1074,B,Broad match
1074,B,Phrase match
1077,USA,Broad match
1077,A,Broad match
1077,A,Exact match
1077,A,Phrase match
1077,B,Broad match
1077,B,Exact match
1077,B,Phrase match
1077,C,Broad match
1078,USA,Broad match
1078,USA,Exact match
1078,USA,Phrase match
1078,A,Broad match
1078,A,Exact match
1078,A,Phrase match
1078,B,Broad match
1078,B,Exact match
1078,B,Phrase match
1078,C,Broad match
1078,C,Exact match
1078,C,Phrase match
1080,A,Broad match
1080,A,Phrase match
1080,B,Broad match
1080,B,Phrase match
1090,USA,Broad match
1090,USA,Phrase match
1090,A,Broad match
1090,A,Exact match
1090,A,Phrase match
1090,B,Broad match
1090,B,Exact match
1090,B,Phrase match
1090,C,Broad match
1090,C,Phrase match
1091,USA,Broad match
1091,A,Broad match
1091,B,Broad match
1091,B,Exact match
1091,B,Phrase match
1091,C,Broad match
1091,C,Phrase match
1092,USA,Broad match
1092,A,Broad match
1092,B,Broad match
1092,B,Phrase match
1092,C,Broad match
1092,C,Phrase match
1093,USA,Broad match
1093,USA,Phrase match
1093,A,Broad match
1093,B,Broad match
1093,B,Exact match
1093,B,Phrase match
1093,C,Broad match
1094,USA,Broad match
1094,USA,Phrase match
1094,A,Broad match
1094,A,Exact match
1094,A,Phrase match
1094,B,Broad match
1094,B,Exact match
1094,B,Phrase match
1094,C,Broad match
1094,C,Exact match
1094,C,Phrase match
1096,USA,Broad match
1096,USA,Exact match
1096,USA,Phrase match
1096,A,Broad match
1096,A,Phrase match
1096,B,Broad match
1096,B,Exact match
1096,B,Phrase match
1096,C,Broad match
1096,C,Exact match
1096,C,Phrase match
1097,USA,Broad match
1097,A,Broad match
1097,B,Broad match
1097,C,Broad match
1097,C,Exact match
1097,C,Phrase match
1098,USA,Broad match
1098,USA,Exact match
1098,USA,Phrase match
1098,A,Broad match
1098,B,Broad match
1098,B,Exact match
1098,B,Phrase match
1098,C,Broad match
1098,C,Exact match
1098,C,Phrase match
1099,USA,Broad match
1099,USA,Exact match
1099,USA,Phrase match
1099,A,Broad match
1099,A,Phrase match
1099,B,Broad match
1099,B,Exact match
1099,B,Phrase match
1099,C,Broad match
1099,C,Exact match
1099,C,Phrase match
1100,USA,Broad match
1100,USA,Exact match
1100,USA,Phrase match
1100,A,Broad match
1100,A,Exact match
1100,B,Broad match
1100,B,Exact match
1100,B,Phrase match
1100,C,Broad match
1100,C,Exact match
1100,C,Phrase match
1103,USA,Broad match
1103,A,Broad match
1103,A,Phrase match
1103,B,Broad match
1103,B,Exact match
1103,B,Phrase match
1103,C,Broad match
1103,C,Phrase match
1105,USA,Broad match
1105,A,Broad match
1105,A,Exact match
1105,A,Phrase match
1105,B,Broad match
1105,B,Exact match
1105,B,Phrase match
1105,C,Broad match
1106,A,Broad match
1106,B,Broad match
1106,B,Phrase match
1107,USA,Broad match
1107,USA,Phrase match
1107,A,Broad match
1107,B,Broad match
1107,B,Phrase match
1107,C,Broad match
1107,C,Phrase match
1108,A,Broad match
1108,B,Broad match
1109,A,Broad match
1109,B,Broad match
1109,B,Phrase match
1110,USA,Broad match
1110,USA,Phrase match
1110,A,Broad match
1110,A,Phrase match
1110,B,Broad match
1110,B,Exact match
1110,B,Phrase match
1110,C,Broad match
1110,C,Phrase match
1111,USA,Broad match
1111,A,Broad match
1111,B,Broad match
1111,B,Phrase match
1111,C,Broad match
1111,C,Phrase match
1119,USA,Broad match
1119,USA,Phrase match
1119,A,Broad match
1119,A,Exact match
1119,A,Phrase match
1119,B,Broad match
1119,B,Exact match
1119,B,Phrase match
1119,C,Broad match
1119,C,Phrase match
1127,B,Broad match
1128,B,Broad match
1129,USA,Broad match
1129,USA,Phrase match
1129,A,Broad match
1129,A,Phrase match
1129,B,Broad match
1129,B,Phrase match
1129,C,Broad match
1129,C,Phrase match
1130,USA,Broad match
1130,A,Broad match
1130,B,Broad match
1130,C,Broad match
1130,C,Exact match
1130,C,Phrase match
1132,USA,Broad match
1132,A,Broad match
1132,A,Phrase match
1132,B,Broad match
1132,B,Exact match
1132,B,Phrase match
1132,C,Broad match
1132,C,Phrase match
1133,USA,Broad match
1133,USA,Phrase match
1133,A,Broad match
1133,A,Phrase match
1133,B,Broad match
1133,B,Phrase match
1133,C,Broad match
1133,C,Phrase match
1134,USA,Broad match
1134,USA,Exact match
1134,USA,Phrase match
1134,A,Broad match
1134,A,Exact match
1134,A,Phrase match
1134,B,Broad match
1134,B,Exact match
1134,B,Phrase match
1134,C,Broad match
1134,C,Exact match
1134,C,Phrase match
1135,USA,Broad match
1135,USA,Exact match
1135,USA,Phrase match
1135,A,Broad match
1135,A,Exact match
1135,A,Phrase match
1135,B,Broad match
1135,B,Exact match
1135,B,Phrase match
1135,C,Broad match
1135,C,Exact match
1135,C,Phrase match
1143,A,Broad match
1143,B,Broad match
1143,B,Phrase match
1144,B,Broad match
1144,B,Phrase match
1151,A,Broad match
1151,B,Broad match
1151,B,Phrase match
1155,USA,Broad match
1155,USA,Phrase match
1155,A,Broad match
1155,A,Exact match
1155,A,Phrase match
1155,B,Broad match
1155,B,Exact match
1155,B,Phrase match
1155,C,Broad match
1155,C,Phrase match
1158,USA,Broad match
1158,A,Broad match
1158,B,Broad match
1158,B,Phrase match
1158,C,Broad match
1158,C,Phrase match
1159,USA,Broad match
1159,A,Broad match
1159,B,Broad match
1159,C,Broad match
