Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
cursos gratuitos mit,USA,Phrase match,existing searches,0.82999999274866,2.1672663123700007,1.2438192398640495,2.167266,4.203411920755684e-07,0.8674893875183934,0.20589256
cursos gratuitos mit,USA,Broad match,existing searches,0.8299999927486615,2.193487519870001,1.2916082092620904,2.1934872,3.525116021307895e-07,0.8353926390648325,0.20589256
cursos gratuitos mit,A,Exact match,existing searches,0.5999999888154316,1.9814396268700007,1.0575351483200437,1.9814395,1.5562518873579736e-07,0.7375641241798314,0.20589256
cursos gratuitos mit,A,Phrase match,existing searches,0.5999999888154303,2.2691893157700003,1.057535129521221,2.2691891,1.9643101101252122e-07,0.7375641372908243,0.20589256
cursos gratuitos mit,A,Broad match,existing searches,0.5999999888154314,2.392409067770001,1.1053241306743589,2.3924088,2.19961163061555e-07,0.7056753433802104,0.20589256
data driven fluid mechanics,USA,Exact match,existing searches,0.8299999927486605,1.0846725352199995,0.8210290320309128,1.0846725,8.42007126244937e-08,1.314204429414907,0.1244981
data driven fluid mechanics,USA,Phrase match,existing searches,0.829999992748659,1.1430559022199998,0.8210289342176804,1.1430558,1.0559676977273116e-07,1.3142045859825693,0.12449813
data driven fluid mechanics,USA,Broad match,existing searches,0.8299999927486619,1.40920245432,0.868817863694237,1.4092026,-1.2136359384129494e-07,1.2419173634222065,0.12449813
data science,USA,Phrase match,existing searches,0.9500000248890004,2.28381665276,0.7351434998364161,2.2838168,-1.616626073008831e-07,1.6799441641400792,0.113509655
data science,USA,Broad match,existing searches,0.9500000248889988,2.5499632048600005,0.7829324889176177,2.5499632,-3.0995102040520806e-08,1.5774029687579467,0.113509655
data science nigeria,USA,Broad match,existing searches,0.950000024889,1.2689346256200005,0.7829328658524679,1.2689345,1.3732349146700076e-07,1.577402209333766,0.70254517
data science research opportunities,USA,Broad match,existing searches,0.9500000248890004,1.51880082309,0.7829327863430213,1.5188007,8.761636727250277e-08,1.577402369524244,0.16170561
data science vs ai,USA,Broad match,existing searches,0.9500000248890008,1.3713967241200002,0.7829327620419058,1.3713967,6.331525170821807e-08,1.5774024184845632,0.113509536
datacamp pricing,USA,Exact match,existing searches,0.9500000248890008,0.9021139719700006,0.735143793485084,0.9021138,1.7668954410687834e-07,1.6799434930967136,0.31336278
datacamp pricing,USA,Phrase match,existing searches,0.9500000248890006,1.3645561648700009,0.7351436926219235,1.3645561,9.072754481032065e-08,1.6799437235882646,0.31336284
datacamp pricing,USA,Broad match,existing searches,0.950000024888999,1.271622267970001,0.7829326963509673,1.2716222,8.703128040465914e-08,1.577402550834436,0.31336284
deep learning api,USA,Phrase match,existing searches,0.9500000248890004,1.3290222286100002,0.7673535941953273,1.329022,1.7870613056025777e-07,1.6094275725009966,0.47562656
deep learning api,USA,Broad match,existing searches,0.9500000248890008,0.9831191901100008,0.7673535350692599,0.983119,1.791847078491671e-07,1.609427696510491,0.47562635
deep learning book,USA,Exact match,existing searches,0.9500000248890008,1.1523441054500003,0.7673535027182958,1.1523439,2.3624071099348498e-07,1.609427764362579,0.39475715
deep learning book,USA,Phrase match,existing searches,0.9500000248890008,1.2086894481500008,0.7673535316308358,1.2086893,1.1614163897277765e-07,1.6094277037221538,0.39475703
deep learning book,USA,Broad match,existing searches,0.9500000248889992,1.3191582751500002,0.7673536133992067,1.3191581,1.979100099358533e-07,1.6094275322232758,0.39475703
