keyword_idx,region,match_type
83,B,Broad match
83,B,Exact match
83,B,Phrase match
83,C,Broad match
83,C,Exact match
83,C,Phrase match
84,USA,Broad match
84,USA,Exact match
84,USA,Phrase match
84,A,Broad match
84,A,Exact match
84,A,Phrase match
84,B,Broad match
84,B,Exact match
84,B,Phrase match
84,C,Broad match
84,C,Exact match
84,C,Phrase match
85,USA,Broad match
85,USA,Exact match
85,USA,Phrase match
85,A,Broad match
85,A,Exact match
85,A,Phrase match
85,B,Broad match
85,B,Exact match
85,B,Phrase match
85,C,Broad match
85,C,Exact match
85,C,Phrase match
86,USA,Broad match
86,USA,Exact match
86,USA,Phrase match
86,A,Broad match
86,A,Exact match
86,A,Phrase match
86,B,Broad match
86,B,Exact match
86,B,Phrase match
86,C,Broad match
86,C,Exact match
86,C,Phrase match
87,USA,Broad match
87,USA,Exact match
87,USA,Phrase match
87,A,Broad match
87,A,Exact match
87,A,Phrase match
87,B,Broad match
87,B,Exact match
87,B,Phrase match
87,C,Broad match
87,C,Exact match
87,C,Phrase match
88,USA,Broad match
88,USA,Exact match
88,USA,Phrase match
88,A,Broad match
88,A,Exact match
88,A,Phrase match
88,B,Broad match
88,B,Exact match
88,B,Phrase match
88,C,Broad match
88,C,Exact match
88,C,Phrase match
89,USA,Broad match
89,USA,Exact match
89,USA,Phrase match
89,A,Broad match
89,A,Exact match
89,A,Phrase match
89,B,Broad match
89,B,Exact match
89,B,Phrase match
89,C,Broad match
89,C,Exact match
89,C,Phrase match
90,USA,Broad match
90,USA,Exact match
90,USA,Phrase match
90,A,Broad match
90,A,Exact match
90,A,Phrase match
90,B,Broad match
90,B,Exact match
90,B,Phrase match
90,C,Broad match
90,C,Exact match
90,C,Phrase match
91,USA,Broad match
91,USA,Exact match
91,USA,Phrase match
91,A,Broad match
91,A,Exact match
91,A,Phrase match
91,B,Broad match
91,B,Exact match
91,B,Phrase match
91,C,Broad match
91,C,Exact match
91,C,Phrase match
92,USA,Broad match
92,USA,Exact match
92,USA,Phrase match
92,A,Broad match
92,A,Exact match
92,A,Phrase match
92,B,Broad match
92,B,Exact match
92,B,Phrase match
92,C,Broad match
92,C,Exact match
92,C,Phrase match
93,USA,Broad match
93,USA,Exact match
93,USA,Phrase match
93,A,Broad match
93,A,Exact match
93,A,Phrase match
93,B,Broad match
93,B,Exact match
93,B,Phrase match
93,C,Broad match
93,C,Exact match
93,C,Phrase match
94,USA,Broad match
94,USA,Exact match
94,USA,Phrase match
94,A,Broad match
94,A,Exact match
94,A,Phrase match
94,B,Broad match
94,B,Exact match
94,B,Phrase match
94,C,Broad match
94,C,Exact match
94,C,Phrase match
95,USA,Broad match
95,USA,Exact match
95,USA,Phrase match
95,A,Broad match
95,A,Exact match
95,A,Phrase match
95,B,Broad match
95,B,Exact match
95,B,Phrase match
95,C,Broad match
95,C,Exact match
95,C,Phrase match
96,USA,Broad match
96,USA,Exact match
96,USA,Phrase match
96,A,Broad match
96,A,Exact match
96,A,Phrase match
96,B,Broad match
96,B,Exact match
96,B,Phrase match
96,C,Broad match
96,C,Exact match
96,C,Phrase match
97,USA,Broad match
97,USA,Exact match
97,USA,Phrase match
97,A,Broad match
97,A,Exact match
97,A,Phrase match
97,B,Broad match
97,B,Exact match
97,B,Phrase match
97,C,Broad match
97,C,Exact match
97,C,Phrase match
98,USA,Broad match
98,USA,Exact match
98,USA,Phrase match
98,A,Broad match
98,A,Exact match
98,A,Phrase match
98,B,Broad match
98,B,Exact match
98,B,Phrase match
98,C,Broad match
98,C,Exact match
98,C,Phrase match
99,USA,Broad match
99,USA,Exact match
99,USA,Phrase match
99,A,Broad match
99,A,Exact match
99,A,Phrase match
99,B,Broad match
99,B,Exact match
99,B,Phrase match
99,C,Broad match
99,C,Exact match
99,C,Phrase match
