Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
online courses,USA,Broad match,existing searches,1.0,0.9185978859200008,0.5536291390194422,0.918598,-1.1031489310919797e-07,0.0,2.348142300281537
online courses with diploma,USA,Broad match,existing searches,1.0,0.9718083680530006,0.5536291838546211,0.9718085,-1.2508435898173076e-07,0.06460482,2.348142110119271
online diploma courses in kenya,USA,Broad match,existing searches,1.0,1.120154780053001,0.5536292015541606,1.1201547,4.1626792457449824e-08,0.01185751,2.3481420350491087
online it courses with certificate,USA,Broad match,existing searches,1.0,0.940023115627,0.5516270015160535,0.9400231,-8.590986921852561e-09,0.06460482,2.3566649138406386
online lean six sigma green belt training,USA,Broad match,existing searches,1.0,1.0445363912000003,0.4664848241223636,1.0445364,3.904240752916621e-08,0.01185751,2.786800197510814
online learning project management,USA,Broad match,existing searches,1.0,1.3042946022200006,0.4145426314520257,1.3042947,-1.031709295773453e-07,0.0,3.1359862686413393
online project management certification,USA,Broad match,existing searches,1.0,1.2295886574400008,0.41454264503842,1.2295886,2.9624754205315185e-08,0.06460482,3.1359861658612123
online training courses with certificates,USA,Broad match,existing searches,1.0,0.9400231156270002,0.5516270015160536,0.9400231,-8.590986810830259e-09,0.011857629,2.356664913840638
operating system course mit,USA,Broad match,existing searches,1.0,1.0169699592069998,0.5516268116907492,1.01697,-7.920700162422636e-08,0.0,2.356665724813972
operations management course,USA,Broad match,existing searches,1.0,1.29693218373,0.4145425786846815,1.2969321,8.248030525237483e-08,0.06460482,3.1359866678226913
prince2 foundation certification,USA,Broad match,existing searches,1.0,1.0753866937000005,0.466484716160938,1.0753868,-6.891901804806366e-08,0.06460482,2.786800842477115
principles of systems,USA,Broad match,existing searches,1.0,1.2240846982800009,0.5536292424999714,1.2240846,8.257260319943782e-08,0.01185751,2.3481418613831027
process modeling in system analysis and design,USA,Broad match,existing,1.0,0.9875930271900007,0.5536292217529128,0.9875931,-8.718606725466317e-08,0.01185739,2.3481419493788858
process safety management training online,USA,Broad match,existing searches,1.0,0.9231869605800012,0.5536291924735406,0.92318696,2.7438500360688067e-09,0.01185751,2.3481420735633094
product design by google udacity,USA,Broad match,existing searches,1.0,1.1550983119900002,0.3456232477123513,1.1550983,-7.063649665184357e-09,0.0,3.761321058709393
project finance certification,A,Broad match,existing searches,20.6599997434338,18.430817558047,17.347946836229983,18.430819,-9.996922578636711e-07,10.814712,1.5481947183728322
rapid design,USA,Broad match,existing,1.0,1.177704357033,0.5536293019106246,1.1777042,1.4198325648528964e-07,0.06460476,2.3481416094010608
rapid prototyping services,USA,Broad match,existing,1.299999984956378,2.601188394863,0.6099910472220089,2.601188,4.504507686853289e-07,0.06460476,2.7705324334509593
scada training certification,USA,Broad match,existing searches,1.0,0.8763863912630008,0.5536292365598605,0.87638634,4.6830169964096064e-08,0.011857629,2.348141886577262
