Campaign,Age,Clicks
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,25 - 34,186
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,35 - 44,206
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,45 - 54,255
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,55 - 64,130
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,65+,85
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,Unknown,569
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,18 - 24,32
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,25 - 34,88
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,35 - 44,62
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,45 - 54,55
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,55 - 64,16
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,65+,10
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,Unknown,272
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,18 - 24,1374
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,25 - 34,3520
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,35 - 44,3483
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,45 - 54,2713
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,55 - 64,1413
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,65+,939
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,Unknown,7250
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,18 - 24,7121
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,25 - 34,6824
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,35 - 44,5246
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,45 - 54,3666
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,55 - 64,1479
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,65+,957
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,Unknown,11760
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,18 - 24,2424
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,25 - 34,5858
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,35 - 44,6452
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,45 - 54,5856
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,55 - 64,3358
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,65+,2819
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,Unknown,12232
Quantum - SP19,18 - 24,0
Quantum - SP19,25 - 34,0
Quantum - SP19,35 - 44,0
Quantum - SP19,45 - 54,0
Quantum - SP19,55 - 64,0
Quantum - SP19,65+,0
Quantum - SP19,Unknown,0
Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023 #2,18 - 24,0
Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023 #2,25 - 34,0
Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023 #2,35 - 44,0
Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023 #2,45 - 54,0
Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023 #2,55 - 64,0
Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023 #2,65+,0
Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023 #2,Unknown,0
