Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29
artificial intelligence master online,-0.7939611,-0.08961246,-0.08395772,0.0010953234,0.19419602,-0.4186768,0.14297092,0.010291297,-0.054915342,-0.18286942,0.119160645,0.106693655,0.011363543,0.01865763,-0.11143645,-0.015851839,0.009986363,0.04278851,0.059990805,0.035286006,0.060274858,-0.029638425,-0.05554206,0.026570903,-0.07492066,-0.058558878,0.07565263,0.12333767,-0.003092238,-0.02731071
best course on artificial intelligence,-0.8471201,-0.16681752,-0.25140932,0.14754042,-0.046384215,-0.0134128565,-0.16026177,0.3095613,-0.123319395,-0.033229787,0.063140966,-0.03852543,-0.024089284,0.033223137,-0.042351454,0.0491403,-0.078279674,0.00013657223,0.019402413,0.055433795,0.0035509006,-0.022861032,-0.042684235,0.05259201,-0.004789895,-0.0010975022,-0.0397251,-0.015050323,0.019734675,-0.033874016
artificial intelligence for engineers,-0.64079505,-0.14527088,0.2289189,0.1842955,-0.10178697,-0.14287204,-0.48658526,-0.045916826,0.13252853,-0.1653634,-0.19848382,0.19651715,0.054927867,-0.015780786,-0.1850431,0.070718996,-0.029386349,-0.047655217,-0.12299137,-0.02197444,-0.04576092,-0.015806345,0.11503474,-0.048646484,-0.043309465,0.056167323,-0.026164824,-0.030018093,-0.026345536,0.05322618
course on machine learning and artificial intelligence,-0.80478245,-0.19098473,-0.26760638,0.059612907,0.043765943,-0.08844027,-0.14331827,0.23583318,-0.09004618,-0.07322896,-0.036388326,0.0025984743,-0.079984434,-0.16745314,0.1646185,-0.07052385,-0.0021899545,0.0095568085,0.13050881,-0.026099803,0.041031886,-0.029119954,-0.10813769,-0.027078921,-0.013111413,0.18971007,-0.04892809,-0.02938752,0.002375693,0.035813097
ai learning course,-0.90591425,-0.12039386,-0.21172525,0.20544776,-0.054815482,0.10409099,0.03849757,-0.065945424,-0.00426544,0.10063037,-0.058096685,0.013880774,0.049691997,-0.117335305,0.03958645,-0.014413807,0.039958026,-0.0025231605,-0.0482747,0.091512255,-0.018984942,-0.019920724,-0.043719444,-0.051270857,0.03937035,-0.035788007,0.009613005,-0.073221676,0.020521408,-0.009077511
best ai learning course,-0.8812081,-0.11526411,-0.26726112,0.18207821,-0.029453093,0.13519153,0.01739145,0.02016888,-0.115241386,0.12935984,0.028245134,0.07701706,-0.00020883737,0.064355426,-0.04689937,0.060941737,-0.0385437,-0.09532429,0.02092356,0.011682157,-0.064586796,-0.0824786,0.009865655,-0.037843376,0.055922337,-0.040073253,-0.009936992,-0.06472898,0.052876767,-0.05903306
artificial intelligence online program,-0.69127595,-0.11739523,-0.07142956,0.16281907,0.28133678,-0.5687223,0.05701917,-0.064544015,0.09375633,-0.047374308,0.08923954,-0.114782974,0.049185175,-0.07551667,-0.032122873,0.046556238,-0.040022157,0.07255753,-0.051497545,0.03264234,-0.053848688,0.0068656616,-0.01220665,0.029997017,0.045564078,0.06884818,-0.038911924,-0.011563558,-0.0077595618,-0.011519102
top artificial intelligence certification,-0.7271607,-0.43840206,0.012618741,-0.19313593,0.23737833,0.056073755,-0.13122316,0.1717571,0.024779156,0.03660528,0.13620847,0.1009218,-0.10746561,0.1561874,-0.0916567,-0.0052682348,0.02547644,0.16500154,-0.016956897,-0.11132632,0.0669888,-0.043193072,0.067979045,0.050977387,0.06060046,0.0011879135,0.030846067,0.0061346744,0.0014492254,-0.03885507
graduate certificate artificial intelligence,-0.781627,-0.401507,-0.012919664,-0.24331748,0.051892504,-0.09552032,-0.07356925,0.12175452,0.14716473,-0.16115776,0.024940439,-0.09339977,0.12866043,-0.02383407,0.043018203,0.01972689,-0.14177223,0.0052855294,-6.9284535e-05,0.002895359,-0.13591477,0.002906981,0.07204771,0.0677931,-0.049057305,0.0056883413,-0.03615518,0.08353211,0.028319037,0.012723523
ai for engineers,-0.7622692,-0.14841284,0.27751967,0.21877511,-0.081918545,-0.041156843,-0.288077,-0.09169492,0.021323787,-0.06779397,-0.25679594,0.17910926,0.1206964,0.004185541,-0.16935132,0.063230015,0.035265908,-0.098569915,-0.035896588,-0.0025862425,-0.006209478,0.013925299,0.032889966,-0.0455163,0.00948464,0.022644417,0.043945957,0.007502638,-0.05489753,0.025606977
python and ai course,-0.84831643,-0.14178637,-0.15274519,0.22289199,-0.019895718,-0.01766794,-0.13804375,0.026785184,0.04108693,0.14503916,-0.020851603,-0.0960766,0.07720999,-0.07774961,-0.07414387,0.029634086,0.045247037,0.00036793386,-0.05050762,0.06481484,-0.08504469,-0.13931294,-0.11149823,-0.0042051394,0.042149615,-0.11299727,0.14800444,0.040799353,-0.096319914,0.14390485
best introduction to artificial intelligence,-0.7228852,-0.036460705,0.01971338,0.22776982,0.020579234,-0.08085173,-0.279062,0.37858468,-0.13551973,-0.01778932,0.111892715,-0.1770266,-0.05124427,0.10645021,-0.009466303,0.06327699,-0.0040465444,-0.07524436,0.11854384,0.2018013,-0.051137175,0.14024542,-0.05268798,-0.11763653,-0.061473485,0.04817108,-0.06484278,0.0018199699,-0.07358691,0.0032778485
artificial intelligence for engineering,-0.5951752,-0.118587844,0.26994675,0.1559656,-0.082209416,-0.16316114,-0.49650306,-0.07500377,0.10063021,-0.15007901,-0.24009272,0.20054826,0.036449444,-0.05599207,-0.17983262,0.071581066,-0.09812953,-0.03357689,-0.16292568,-0.023902366,-0.060729362,-0.03189726,0.11372132,-0.054165527,-0.032688335,0.028548116,-0.11852226,-0.022988096,-0.013928102,0.038028523
artificial intelligence master's degree online,-0.6981417,-0.23303857,-0.23738806,-0.10918317,0.17655519,-0.3902087,0.19939351,-0.008905441,-0.08754098,-0.3226528,0.0064534075,0.022112375,0.08880995,-0.022726882,-0.0032550385,-0.025144039,-0.029059088,0.029972617,0.034599956,-0.017828707,0.0029117262,0.007440851,-0.054860532,0.11729102,-0.07493434,-0.091245316,0.028265387,0.09828672,-0.026270142,-0.01488543
ai related certifications,-0.778959,-0.47000775,0.040369205,-0.1740906,0.23626561,0.19464134,0.06298738,-0.030451663,-0.0064931535,0.053470545,-0.048387513,-0.007794805,-0.05998508,-0.028788337,-0.07323922,-0.011547508,0.078007415,0.013549152,-0.022230191,0.019050276,0.07788211,0.07970375,-0.0020231574,0.019233527,-0.0015025797,-0.007126211,-0.03183442,-0.005019767,-0.04938248,0.05568594
course in generative ai,-0.8706645,0.40544564,0.026974784,-0.06349868,-0.023647938,0.11320074,-0.025454737,0.12041988,0.040357243,0.01227358,-0.032730944,0.009360228,0.038367417,-0.11493479,-0.02719681,-0.060613032,0.027555203,0.026255427,0.046272002,0.012112923,0.004959848,-0.030209599,-0.07316652,0.071075685,-0.03960697,0.0039458764,0.006325141,0.03931038,-0.016295793,0.061049554
courses in generative ai,-0.8688362,0.40089396,-0.06462918,-0.066004105,-0.0009096942,0.18012184,-0.020952396,0.1062718,-0.04677489,-0.065992914,-0.009499713,0.02401159,0.023134235,-0.05748569,0.05771822,0.0025042698,0.02397249,0.005845834,-0.020014454,-0.013057493,0.017052704,-0.0047727674,0.021284724,0.029001849,-0.051816083,0.03448137,-0.05034006,0.03390523,-0.0071358876,0.083147496
ai for engineering,-0.74982893,-0.16305079,0.28463712,0.17852919,-0.095499575,-0.042070486,-0.2993928,-0.12167069,-0.007850469,-0.09296822,-0.2869024,0.16627224,0.097275205,-0.023077248,-0.15133816,0.06437285,-0.0017451472,-0.11900642,-0.04450319,-0.03990335,0.020459244,0.01679589,0.028990628,-0.020241437,0.018744394,0.011289033,-0.027765576,0.013968758,-0.07713593,0.012640546
