Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Avg. CPC,competition_x_is_exact,competition_x_is_phrase,competition_x_is_broad,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,Conv. value,Clicks,EPC
Exact match,C,Tuesday,0,11,0,97,30.0,90.0,85.0,22.22222222222222,13.999999999999984,94.0,6.51,16.04,0.2,94.0,0.0,0.0,-0.8745607,0.45093387,0.03716099,-0.060712785,0.0066776513,0.07064054,-0.03969984,0.14177087,0.0027217215,-0.0042533376,0.0,1,0.0
Exact match,A,Monday,0,3,0,203,10.0,13.333333333333334,18.333333333333332,100.0,-2.5714285714285725,94.0,6.24,20.12,3.0,94.0,0.0,0.0,-0.8660836,0.35686338,0.06701868,-0.20440228,-0.27387127,0.015276083,0.01996831,0.0058584586,0.0002780766,0.024572898,0.0,2,0.0
Exact match,USA,Monday,0,1,0,28,40.0,36.666666666666664,31.666666666666668,33.33333333333333,1.9999999999999976,87.0,3.22,10.38,3.29,87.0,0.0,0.0,-0.8903785,-0.04550422,0.13202338,0.32216498,0.12422718,-0.0062851524,-0.16079961,-0.07734003,0.05587347,0.18303889,0.0,2,0.0
Phrase match,B,Thursday,0,12,0,60,90.0,163.33333333333334,202.0,23.52941176470588,-19.000000000000007,80.0,6.34,22.72,1.3,0.0,80.0,0.0,-0.85684127,-0.21845795,-0.15520018,-0.11552582,-0.34067073,-0.19110656,-0.05198222,0.13585432,-0.080935985,-0.019456562,0.0,1,0.0
Broad match,USA,Friday,0,12,0,66,50.0,36.666666666666664,34.0,0.0,3.0,88.0,5.96,15.94,4.4,0.0,0.0,88.0,-0.9048005,0.08451529,-0.07490813,-0.32395953,0.077380784,0.1945735,-0.0056696283,-0.048922975,0.11431275,-0.065518335,0.0,3,0.0
Phrase match,A,Saturday,1,3,0,205,90.0,243.33333333333334,203.33333333333334,-70.83333333333334,28.0,80.0,6.34,22.72,5.21,0.0,80.0,0.0,-0.85684127,-0.21845795,-0.15520018,-0.11552582,-0.34067073,-0.19110656,-0.05198222,0.13585432,-0.080935985,-0.019456562,0.0,2,0.0
Broad match,B,Monday,0,12,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,-0.74526215,0.44104588,0.060153354,-0.0014971796,0.31532508,-0.3348134,0.08552831,-0.16527824,0.012759637,0.010839185,0.0,15,0.0
Exact match,A,Tuesday,0,6,0,104,10.0,10.0,11.666666666666666,0.0,-0.2857142857142865,94.0,6.24,20.12,13.55,94.0,0.0,0.0,-0.8660836,0.35686338,0.06701868,-0.20440228,-0.27387127,0.015276083,0.01996831,0.0058584586,0.0002780766,0.024572898,0.0,2,0.0
Phrase match,USA,Friday,0,11,0,87,110.0,103.33333333333333,105.0,-18.181818181818183,-6.0000000000000355,75.0,4.09,15.71,17.81,0.0,75.0,0.0,-0.7882521,-0.12007274,0.08448185,0.2425539,0.06697881,-0.15611923,-0.14079636,-0.31252366,-0.028202279,0.38874435,0.0,1,0.0
Broad match,USA,Monday,0,11,0,91,10.0,6.666666666666667,8.333333333333334,-100.0,-1.428571428571428,97.0,5.27,12.02,1.6,0.0,0.0,97.0,-0.8419911,0.09405592,0.016696027,-0.35377502,0.36511332,0.031028645,0.053654745,-0.12667674,-0.001717742,-0.05974572,0.0,1,0.0
Broad match,USA,Thursday,0,12,0,67,50.0,50.0,60.0,0.0,-5.14285714285714,88.0,5.96,15.94,1.11,0.0,0.0,88.0,-0.9048005,0.08451529,-0.07490813,-0.32395953,0.077380784,0.1945735,-0.0056696283,-0.048922975,0.11431275,-0.065518335,0.0,3,0.0
Broad match,A,Sunday,1,3,0,211,10.0,10.0,10.0,0.0,0.0,33.0,0.0,0.0,4.86,0.0,0.0,33.0,-0.92217237,0.34501824,-0.08460283,-0.05831535,-0.013991112,0.11299075,-0.02751387,0.025269616,0.062209886,-0.042118,0.0,6,0.0
Exact match,USA,Wednesday,0,1,0,19,10.0,20.0,16.666666666666668,0.0,2.285714285714285,88.0,4.34,11.78,21.32,88.0,0.0,0.0,-0.90898854,-0.12718704,-0.22703624,0.22028287,-0.04122848,0.14654316,0.042950604,0.112733215,-0.13189043,0.04868282,0.0,1,0.0
Exact match,B,Monday,0,7,0,84,880.0,1106.6666666666667,1013.3333333333334,60.0,91.42857142857136,84.0,2.8,8.32,1.07,84.0,0.0,0.0,-0.9142036,-0.19395994,-0.12651962,0.0009201052,-0.28519648,-0.068121724,0.09499706,0.09174237,0.060365137,0.05950286,0.0,2,0.0
