Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9
executive education ai,-0.76208746,-0.19958912,0.22314249,0.24764283,-0.07360151,0.18429159,0.3112261,-0.06302846,0.3460642,-0.09106079
generative ai training course,-0.9026127,0.36730647,-0.08108931,-0.0790528,0.038375307,0.16236027,-0.04097777,-0.074967876,0.035501022,0.034032404
course generator ai,-0.91683567,0.0916884,-0.12960422,0.13846263,-0.054657895,0.061848883,-0.09202247,-0.2517726,0.16124998,0.101806596
courses on generative ai,-0.86025095,0.44782016,-0.050746,-0.06398498,0.012806737,0.13796455,-0.034733735,0.15007192,-0.067870304,-0.07227333
google generative ai course,-0.92618227,0.36755332,-0.013600151,-0.0022537243,-0.028163558,0.0038094432,-0.0038611386,0.03587499,0.05433628,-0.042882755
best course for artificial intelligence,-0.8567417,-0.17755342,-0.29309025,0.16594632,-0.05780861,0.058124933,-0.16113113,0.26491535,-0.1314304,-0.029844452
best ai classes online,-0.85731226,-0.031624664,-0.3029987,0.16048956,0.16563746,-0.1553492,0.21321203,-0.069516174,-0.17425492,0.11926726
artificial intelligence for leadership,-0.69603515,-0.06644351,0.3585442,0.3752569,-0.06607776,-0.12380945,0.057742253,0.22969736,0.3740796,-0.16131684
stanford generative ai course,-0.8888701,0.3962387,-0.018568953,-0.043382164,-0.08931684,-0.04570466,-0.05931695,0.11126278,0.15375637,0.032749835
bootcamp ai,-0.7882521,-0.12007274,0.08448185,0.2425539,0.06697881,-0.15611923,-0.14079636,-0.31252366,-0.028202279,0.38874435
generative ai course stanford,-0.8876882,0.40962723,0.009382104,-0.044971805,-0.082134284,-0.015428917,-0.06372814,0.08411514,0.14957723,0.040131807
course generative ai,-0.8845134,0.38759318,-0.08371361,-0.042519916,-0.08755364,0.1043408,-0.018248267,-0.06194654,0.17932956,0.060905512
artificial intelligence workshop,-0.84882617,-0.029262021,0.065100126,0.1601835,0.06855542,-0.2869315,-0.25271714,0.0546697,0.16515176,0.25996494
best generative ai course,-0.9038234,0.38820863,-0.055703357,-0.018812412,-0.016627796,0.13511142,-0.047578063,0.08480382,-0.01089282,0.02889523
certification in machine learning and ai,-0.73928726,-0.4312187,0.012242813,-0.27417773,0.3643264,0.19331484,-0.10628197,0.046073414,0.03445167,0.08643849
artificial intelligence stanford online,-0.7588807,-0.010428435,-0.035718568,0.08418732,0.042163167,-0.5910384,-0.02361037,0.121862516,0.21701756,0.044937864
artificial intelligence summer course,-0.9098524,-0.08736232,-0.24007365,0.18144785,-0.108687215,-0.11417202,-0.16513698,0.09253205,0.05104275,0.10340128
best courses on generative ai,-0.857057,0.41468698,-0.08454647,-0.061838888,0.039839238,0.17513783,-0.052307673,0.15523826,-0.13363233,-0.074584536
generative ai course online,-0.8848844,0.39114213,-0.18414508,0.010102469,0.09627337,-0.08216248,0.08442558,-0.069947585,-0.009230372,-0.043024093
ai certification classes,-0.83855397,-0.40188023,-0.13383867,-0.15183413,0.12438992,0.23500898,0.0454201,-0.066574685,0.0064583346,0.13082132
ai for managers course,-0.8761184,-0.0830347,0.0981269,0.35660437,-0.07224356,0.10925012,0.16935527,0.028579151,0.16492528,-0.121955596
generative ai online courses,-0.8418675,0.36257955,-0.26435342,-0.016335184,0.13569175,-0.08782643,0.17716065,-0.15123534,-0.05321454,-0.0801874
best ai certifications 2024,-0.8297735,-0.38503492,0.022733599,-0.14707723,0.23523828,0.19521934,-0.028193023,0.028530577,-0.11163569,0.18318461
ai courses for executives,-0.8570815,-0.19729239,-0.006694596,0.28556374,-0.07368211,0.25940776,0.22713658,0.057417322,0.033703174,-0.12708493
ai for executives course,-0.8272438,-0.15815695,0.15157194,0.35835797,-0.09962784,0.15897425,0.22992074,0.030366067,0.17625953,-0.13859276
stanford online artificial intelligence course,-0.81042737,-0.10386007,-0.3802582,0.057206403,-0.03453502,-0.40773758,0.03220321,0.04441332,0.08502416,-0.08288767
ai strategy course,-0.9081932,-0.10335986,-0.12166494,0.3262458,-0.12335845,0.10616465,0.07501333,-0.032572556,-0.031212559,0.095461056
professional certificate program in machine learning and artificial intelligence,-0.7377918,-0.44599098,-0.08291108,-0.34326646,0.26586983,-0.01190587,-0.100970276,0.031531505,0.20340568,-0.093046576
artificial intelligence specialist certification,-0.7610533,-0.5022095,-0.010753083,-0.22513393,0.2350945,0.074479066,-0.17691992,0.09562882,0.091676116,-0.09008837
artificial intelligence bootcamp online,-0.72294563,-0.10062356,-0.1607409,0.1966069,0.26588786,-0.45771822,-0.124113575,-0.29472092,-0.018839661,0.14110518
northeastern university artificial intelligence,-0.87832904,-0.1341689,-0.062041596,0.06392855,-0.08903716,-0.3333813,-0.051956385,0.20053391,0.20118928,-0.011811275
introduction to generative ai,-0.7538497,0.5448258,0.25328204,-0.06132478,0.08335474,-0.0058824136,-0.118356384,0.21157998,-0.032192267,0.0130280275
best ai courses 2025,-0.92401755,-0.1727141,-0.17803198,0.11069384,-0.028865281,0.16569129,-0.03317081,0.0488218,-0.15932103,0.12352721
ai prompt engineering course,-0.88609064,-0.12263939,-0.115055405,0.17972717,-0.13889998,0.16334452,-0.16914833,-0.27014324,0.019028625,-0.079612225
harvard ai course,-0.9142036,-0.19395994,-0.12651962,0.0009201052,-0.28519648,-0.068121724,0.09499706,0.09174237,0.060365137,0.05950286
coursera generative ai,-0.881134,0.4134498,0.04707266,-0.10064252,0.023205396,0.11018681,0.052007552,0.025935354,0.05210717,0.14678258
no code ai and machine learning building data science solutions,-0.7872589,-0.2742678,0.14333075,0.18977265,0.35657227,-0.1363248,-0.28833506,-0.041329045,-0.13320342,-0.011252211
large language model course,-0.715844,0.14026959,-0.467616,0.107846886,-0.30582616,0.05091225,-0.08635419,-0.13912211,0.3319368,0.06693564
driving innovation with ai,-0.69874966,-0.15100035,0.51692986,0.23895194,0.11911082,0.06304836,0.023767002,-0.14901562,-0.35113665,-0.020083774
ai executive education,-0.79131764,-0.27119052,0.21072324,0.26203394,-0.040533137,0.23677145,0.29980513,-0.046511497,0.17013112,-0.09225687
ai graphic design course,-0.9209187,-0.0693697,-0.22003233,0.13678439,-0.038991146,0.18839437,-0.004574024,-0.105618864,-0.17795172,-0.010796982
ai upskilling programs,-0.7345431,-0.17422186,0.30002102,0.30408055,0.19277288,-0.12133545,-0.027243758,-0.023025278,0.03204034,0.4398103
