Location report
All time
Location,Campaign,Ad group,Clicks,Conversions
France,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,8,1.00
Netherlands,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,10,5.00
Sweden,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,3,1.00
Norway,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,5,0.00
Italy,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,23,1.00
Mexico,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,187,16.00
New Zealand,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,7,0.00
Canada,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,17,2.00
Switzerland,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,7,1.00
South Africa,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,904,158.27
Japan,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,11,2.00
Spain,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,24,3.00
Belgium,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,1,0.00
United States,Course - System Thinking - Run 11 - YouTube - Webinar - US #2, --,0,0.00
United States,Course - System Thinking - Run 15 - YouTube - Remarketing - US + CA #2, --,0,0.00
United States,Course - System Thinking - Run 16 - Display - Remarketing - USA, --,"3,621",15.00
United States,Course - System Thinking - Run 17 - Demand Gen - RM - USA,Ad group 1,561,0.00
Brazil,Lifetime Campaign - Technical Innovation  - C (Run 1), --,91,2.00
India,Lifetime Campaign - Technical Innovation  - C (Run 1), --,857,17.00
"California, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,"1,952",84.00
New Zealand,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,232,2.00
Belgium,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,5,0.00
Ireland,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,4,0.00
Germany,Course - System Thinking - Run 17 - Search - Prospecting - A, --,95,1.00
France,Course - System Thinking - Run 17 - Search - Prospecting - A, --,101,3.00
Ireland,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,189,1.00
France,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,163,2.22
"Illinois, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,409,11.00
"Wisconsin, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,88,3.00
Mexico,Course - System Thinking - Run 17 - Search - Prospecting - A, --,265,8.00
"New York, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,693,27.00
Japan,Course - System Thinking - Run 17 - Search - Prospecting - A, --,78,3.00
Belgium,Course - System Thinking - Run 17 - Search - Prospecting - A, --,26,1.00
"Iowa, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,48,0.00
Lebanon,Lifetime Campaign - Leadership Principles  - B (Run 3), --,82,2.00
Tunisia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,49,1.00
Costa Rica,Lifetime Campaign - Leadership Principles  - B (Run 3), --,15,1.00
Saint Lucia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,4,0.00
Angola,Lifetime Campaign - Leadership Principles  - B (Run 3), --,11,1.00
Vietnam,Lifetime Campaign - Leadership Principles  - B (Run 3), --,72,0.00
Paraguay,Lifetime Campaign - Leadership Principles  - B (Run 3), --,3,0.00
Liberia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,55,0.00
Peru,Lifetime Campaign - Leadership Principles  - B (Run 3), --,15,2.00
Guatemala,Lifetime Campaign - Leadership Principles  - B (Run 3), --,5,0.00
Tajikistan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,3,0.00
United Arab Emirates,Lifetime Campaign - Leadership Principles  - B (Run 3), --,329,5.00
Eswatini,Lifetime Campaign - Leadership Principles  - B (Run 3), --,14,0.00
Lithuania,Lifetime Campaign - Leadership Principles  - B (Run 3), --,20,1.00
Democratic Republic of the Congo,Lifetime Campaign - Leadership Principles  - B (Run 3), --,25,0.00
Ecuador,Lifetime Campaign - Leadership Principles  - B (Run 3), --,8,2.00
Honduras,Lifetime Campaign - Leadership Principles  - B (Run 3), --,8,1.00
Nauru,Lifetime Campaign - Leadership Principles  - B (Run 3), --,0,0.00
Kazakhstan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,17,1.00
Pakistan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,941,15.00
Sint Maarten,Lifetime Campaign - Leadership Principles  - B (Run 3), --,3,0.00
Sierra Leone,Lifetime Campaign - Leadership Principles  - B (Run 3), --,53,2.00
Cabo Verde,Lifetime Campaign - Leadership Principles  - B (Run 3), --,0,0.00
Bangladesh,Lifetime Campaign - Leadership Principles  - B (Run 3), --,364,6.00
Somalia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,125,3.00
Kyrgyzstan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,5,0.00
Zimbabwe,Lifetime Campaign - Leadership Principles  - B (Run 3), --,86,0.00
Cameroon,Lifetime Campaign - Leadership Principles  - B (Run 3), --,67,3.00
Haiti,Lifetime Campaign - Leadership Principles  - B (Run 3), --,15,0.00
Moldova,Lifetime Campaign - Leadership Principles  - B (Run 3), --,10,0.00
Eritrea,Lifetime Campaign - Leadership Principles  - B (Run 3), --,3,0.00
Russia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,24,1.00
Uzbekistan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,17,0.00
Guyana,Lifetime Campaign - Leadership Principles  - B (Run 3), --,30,0.00
Madagascar,Lifetime Campaign - Leadership Principles  - B (Run 3), --,5,0.00
Zambia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,156,0.00
Georgia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,23,0.00
Cambodia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,112,2.00
Hungary,Lifetime Campaign - Leadership Principles  - B (Run 3), --,23,0.00
Montenegro,Lifetime Campaign - Leadership Principles  - B (Run 3), --,9,0.00
Aruba,Lifetime Campaign - Leadership Principles  - B (Run 3), --,4,1.00
Nepal,Lifetime Campaign - Leadership Principles  - B (Run 3), --,187,1.00
Serbia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,40,0.00
Namibia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,63,4.00
Philippines,Lifetime Campaign - Leadership Principles  - B (Run 3), --,"1,354",8.00
Fiji,Lifetime Campaign - Leadership Principles  - B (Run 3), --,26,0.00
Timor-Leste,Lifetime Campaign - Leadership Principles  - B (Run 3), --,4,0.00
Curacao,Lifetime Campaign - Leadership Principles  - B (Run 3), --,4,0.00
Mauritania,Lifetime Campaign - Leadership Principles  - B (Run 3), --,3,0.00
Mauritius,Lifetime Campaign - Leadership Principles  - B (Run 3), --,59,1.00
Central African Republic,Lifetime Campaign - Leadership Principles  - B (Run 3), --,2,0.00
Kenya,Lifetime Campaign - Leadership Principles  - B (Run 3), --,524,10.00
Tanzania,Lifetime Campaign - Leadership Principles  - B (Run 3), --,221,2.00
Qatar,Lifetime Campaign - Leadership Principles  - B (Run 3), --,121,1.00
Benin,Lifetime Campaign - Leadership Principles  - B (Run 3), --,6,0.00
Belarus,Lifetime Campaign - Leadership Principles  - B (Run 3), --,7,1.00
Palau,Lifetime Campaign - Leadership Principles  - B (Run 3), --,0,0.00
Barbados,Lifetime Campaign - Leadership Principles  - B (Run 3), --,14,0.00
Ghana,Lifetime Campaign - Leadership Principles  - B (Run 3), --,290,7.00
Saint Kitts and Nevis,Lifetime Campaign - Leadership Principles  - B (Run 3), --,1,0.00
Djibouti,Lifetime Campaign - Leadership Principles  - B (Run 3), --,5,0.00
Bulgaria,Lifetime Campaign - Leadership Principles  - B (Run 3), --,24,0.00
China,Lifetime Campaign - Leadership Principles  - B (Run 3), --,28,0.00
