Device report
1 June 2022 - 2 February 2026
Campaign,Targeted location,Clicks
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Romania,243
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Germany,831
System Engineering - SP19 - Other A - Exact,Germany,0
Sysengx - Run 4 - Other (SEM),Germany,0
Syseng - FL18 - Other B,Haiti,0
System Engineering - SP19 - US - Exact,"Maryland, United States",0
System Engineering - SP19 - US - BMM,"North Carolina, United States",0
Syseng - FL18 - Other B,Trinidad and Tobago,0
Program - SysEng - Run 22 - Search - Lead Gen - B,Chile,240
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Netherlands,"5,945"
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Saudi Arabia,728
Sysengx - Run 4 - Other A - Remarketing,Belgium,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Netherlands,651
Syseng - FL18 - Other A,France,0
Program - SysEng - Run 22 - Search - Lead Gen - A,Norway,124
Program - SysEng - Run 21 - Search - Lead Gen - US,"Kansas, United States",322
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Mexico,984
Syseng - FL18 - Other B,Tanzania,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Arkansas, United States",210
Syseng - FL18 - Other B,Cabo Verde,0
Program - SysEng - Run 22 - Search - Lead Gen - A,Japan,461
System Engineering - SP19 - Other B - Broad,Mexico,0
Program - SysEng - Run 22 - Search - Lead Gen - A,Germany,819
Syseng - FL18 - Other A,Denmark,0
Sysengx - Run 4 - Other A - Remarketing,Canada,0
Syseng - FL18 - Other B,Sao Tome and Principe,0
Syseng - FL18 - Other B,Laos,0
Syseng - FL18 - Other B,Nicaragua,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Virginia, United States","3,374"
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Turkiye,"2,635"
Program - SysEng - Run 24 - Search - Remarketing - A,Italy,9
Program - SysEng - Run 26 - Search - Prospecting - A,Mexico,"1,150"
System Engineering - SP19 - Other A - Broad,France,0
System Engineering - SP19 - Other A - BMM,United Kingdom,0
Systems Engineering Program - Run 3 - US - Text,United States,0
Syseng - FL18 - Other B,Jordan,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Kentucky, United States",344
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Spain,338
Sysengx - Run 4 - Other A - Remarketing,Sweden,0
System Engineering - FL18 - Other A - Revamped,Belgium,0
Syseng - FL18 - Other B,Albania,0
Syseng - FL18 - Other B,Bermuda,0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Sweden,168
System Engineering - SP19 - Other B - Exact,Brazil,0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Denmark,"2,054"
Syseng - FL18 - Other B,Maldives,0
Sysengx - Run 4 - Other A - Remarketing,France,0
System Engineering - FL18 - Other B - Revamped,Kuwait,0
System Engineering - SP19 - US - BMM,"District of Columbia, United States",0
Syseng - FL18 - Other B,Israel,0
System Engineering - SP19 - Other B - BMM,Chile,0
Syseng - FL18 - Other A,Australia,0
Syseng - FL18 - Other B,Kuwait,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Ireland,182
Syseng - FL18 - Other B,Uganda,0
System Engineering - SP19 - Other A - Exact,Netherlands,0
System Engineering - SP19 - US - Broad,"District of Columbia, United States",0
System Engineering - SP19 - Other B - Broad,Poland,0
Program - SysEng - Run 24 - Search - Remarketing - B,Egypt,32
Program - SysEng - Run 26 - Search - Prospecting - B,Romania,161
System Engineering - FL18 - US - Revamped,"Florida, United States",0
Program - SysEng - Run 22 - Search - Lead Gen - B,Singapore,307
Syseng - FL18 - US,"New Jersey, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),France,477
System Engineering - SP19 - US - Broad,"Texas, United States",0
System Engineering - SP19 - US - Phrase,"Florida, United States",0
Syseng - FL18 - Other B,Montserrat,0
Program - SysEng - Run 22 - Search - Lead Gen - B,Portugal,64
Syseng - FL18 - Other B,Ecuador,0
Syseng - FL18 - Other B,Pakistan,0
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,"Edmonton, Alberta, Canada",141
Syseng - FL18 - Other B,Mauritania,0
Syseng - FL18 - US,"Pennsylvania, United States",0
Syseng - FL18 - Other B,Bangladesh,0
Syseng - FL18 - Other B,Mali,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Rhode Island, United States",292
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Singapore,149
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Australia,321
Program - SysEng - Run 21 - Search - Lead Gen - US,"Idaho, United States",175
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Mexico,"1,250"
Syseng - FL18 - Other B,Cambodia,0
Program - SysEng - Run 26 - Search - Prospecting - C,India,"7,852"
Syseng - FL18 - Other B,Zambia,0
Syseng - FL18 - Other B,Poland,0
Syseng - FL18 - Other B,Togo,0
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),United States,"8,120"
System Engineering - SP19 - Other A - Exact,Switzerland,0
Program - SysEng - Run 24 - Search - Remarketing - B,Hong Kong,3
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),United Arab Emirates,438
Program - SysEng - Run 22 - Search - Lead Gen - B,Colombia,404
Syseng - FL18 - Other B,Solomon Islands,0
Syseng - FL18 - Other B,Slovakia,0
Syseng - FL18 - Other B,Estonia,0
System Engineering - SP19 - US - Exact,"Boston, Massachusetts, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Austria,"1,438"
System Engineering - SP19 - Other A - Phrase,Germany,0
Syseng - FL18 - Other B,Madagascar,0
System Engineering - SP19 - US - BMM,"Pennsylvania, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Italy,"9,678"
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Ireland,"2,463"
Program - SysEng - Run 21 - Search - Lead Gen - US,"Oregon, United States",828
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Poland,"3,295"
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),South Africa,691
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Colombia,"4,606"
Syseng - FL18 - Other B,Western Sahara,0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,United Kingdom,"13,084"
Syseng - FL18 - Other B,Lithuania,0
Sysengx - Run 4 - US - Remarketing,United States,0
Syseng - FL18 - Other B,Nepal,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Chile,280
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Austria,96
System Engineering - SP19 - US - Phrase,"Virginia, United States",0
Syseng - FL18 - Other B,Comoros,0
Syseng - FL18 - Other B,Saint Pierre and Miquelon,0
Program - SysEng - Run 22 - Search - Lead Gen - A,Spain,536
Syseng - FL18 - Other B,Micronesia,0
Syseng - FL18 - Other B,Morocco,0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Egypt,"1,950"
Syseng - FL18 - Other A,Netherlands,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Utah, United States",877
Syseng - FL18 - Other B,Peru,0
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),United States,"1,498"
Program - SysEng - Run 26 - Search - Prospecting - A,Spain,387
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Egypt,"2,415"
System Engineering - SP19 - US - Exact,"District of Columbia, United States",0
Syseng - FL18 - Other B,Finland,0
Syseng - FL18 - Other B,Thailand,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Wisconsin, United States",594
Syseng - FL18 - Other B,Qatar,0
Program - SysEng - Run 24 - Search - Remarketing - C,India,220
Lifetime Campaign - System Engineering - C (Run 12 SU21),Brazil,0
System Engineering - SP19 - Other B - Exact,Poland,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Indiana, United States",826
System Engineering - SP19 - Other A - BMM,Netherlands,0
System Engineering - SP19 - Other A - Phrase,Netherlands,0
Sysengx - Run 4 - Other (SEM),Mexico,0
Syseng - FL18 - Other B,Paraguay,0
System Engineering - SP19 - US - BMM,"Florida, United States",0
Syseng - FL18 - US,"Illinois, United States",0
System Engineering - SP19 - Other B - Exact,Chile,0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Ireland,93
Syseng - FL18 - Other B,Croatia,0
System Engineering - SP19 - US - Exact,"New Jersey, United States",0
Program - SysEng - Run 26 - Search - Prospecting - A,Switzerland,165
Program - SysEng - Run 21 - Search - Lead Gen - US,"North Dakota, United States",94
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Austria,17
System Engineering - SP19 - Other B - Phrase,China,0
System Engineering - SP19 - Other B - Exact,Turkiye,0
Program - SysEng - Run 26 - Search - Prospecting - B,United Arab Emirates,108
System Engineering - SP19 - US - Phrase,"Indiana, United States",0
Syseng - FL18 - US,"New York, United States",0
System Engineering - SP19 - Other A - BMM,Canada,0
Program - SysEng - Run 26 - Search - Prospecting - A,Israel,334
Program - SysEng - Run 22 - Search - Lead Gen - B,Taiwan,193
Program - SysEng - Run 24 - Search - Remarketing - B,Romania,0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),China,64
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Hong Kong,"4,947"
Syseng - FL18 - Other B,Central African Republic,0
Syseng - FL18 - Other B,Bhutan,0
Syseng - FL18 - Other B,Burundi,0
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Singapore,"4,342"
System Engineering - SP19 - Other B - Exact,China,0
Program - SysEng - Run 24 - Search - Remarketing - A,Israel,14
System Engineering - FL18 - Other B - Revamped,Taiwan,0
Syseng - FL18 - Other B,Ireland,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Connecticut, United States","1,077"
Sysengx - Run 4 - Other (SEM),Switzerland,0
Syseng - FL18 - Other B,South Africa,0
System Engineering - SP19 - US - Phrase,"Boston, Massachusetts, United States",0
Program - SysEng - Run 26 - Search - Prospecting - A,Sweden,174
Syseng - FL18 - Other B,Oman,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Norway,197
Syseng - FL18 - Other B,Hong Kong,0
System Engineering - FL18 - Other A - Revamped,Hong Kong,0
Syseng - FL18 - Other B,Chad,0
Syseng - FL18 - Other B,Tonga,0
System Engineering - SP19 - US - Phrase,Georgia,0
System Engineering - SP19 - US - Phrase,"Washington, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Pennsylvania, United States","1,987"
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Saudi Arabia,"8,628"
Syseng - FL18 - Other B,Djibouti,0
System Engineering - SP19 - US - Broad,"Maryland, United States",0
System Engineering - FL18 - Other A - Revamped,Canada,0
Syseng - FL18 - Other B,Saint Lucia,0
Sysengx - Run 4 - Other (SEM),Denmark,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Delaware, United States",168
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Italy,540
System Engineering - SP19 - US - Phrase,"New Hampshire, United States",0
Syseng - FL18 - Other B,Bosnia and Herzegovina,0
System Engineering - SP19 - Other A - Exact,Denmark,0
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),Brazil,"1,486"
Program - SysEng - Run 24 - Search - Remarketing - A,Ireland,1
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),United States,716
Sysengx - Run 4 - US (SEM),United States,0
Syseng - FL18 - Other B,Singapore,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Colombia,311
Syseng - FL18 - Other B,Zimbabwe,0
System Engineering - FL18 - Other A - Revamped,Australia,0
System Engineering - SP19 - US - BMM,"Boston, Massachusetts, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Nebraska, United States",190
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Norway,"1,955"
Syseng - FL18 - US,"Maryland, United States",0
System Engineering - SP19 - Other B - Broad,India,0
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Brazil,"20,464"
Program - SysEng - Run 21 - Search - Lead Gen - US,"Missouri, United States",945
System Engineering - SP19 - Other B - Phrase,Poland,0
System Engineering - FL18 - US - Revamped,"California, United States",0
Sysengx - Run 4 - Other (SEM),Brazil,0
System Engineering - FL18 - Other B - Revamped,Mexico,0
System Engineering - SP19 - Other A - Exact,Japan,0
System Engineering - SP19 - US - Broad,Georgia,0
Syseng - FL18 - Other B,Turkmenistan,0
System Engineering - SP19 - Other B - Exact,India,0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Hong Kong,57
Program - SysEng - Run 21 - Search - Lead Gen - US,"Nevada, United States",493
Program - SysEng - Run 24 - Search - Remarketing - B,Portugal,0
System Engineering - SP19 - Other A - Broad,Denmark,0
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),India,"20,194"
Syseng - FL18 - Other B,Saudi Arabia,0
System Engineering - SP19 - US - Phrase,"Connecticut, United States",0
System Engineering - SP19 - Other A - BMM,Spain,0
Sysengx - Run 4 - Other A - Remarketing,New Zealand,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),France,682
Syseng - FL18 - Other B,Namibia,0
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),India,"6,985"
Syseng - FL18 - Other B,Cameroon,0
System Engineering - SP19 - US - Broad,"Massachusetts, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Mississippi, United States",157
System Engineering - SP19 - US - Exact,"Massachusetts, United States",0
System Engineering - SP19 - US - Phrase,"Texas, United States",0
Sysengx - Run 4 - Other A - Remarketing,Germany,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Italy,776
System Engineering - FL18 - Other B - Revamped,Thailand,0
Syseng - FL18 - Other B,South Korea,0
System Engineering - FL18 - Other A - Revamped,United Kingdom,0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,New Zealand,"1,613"
System Engineering - SP19 - US - Exact,"Florida, United States",0
Program - SysEng - Run 26 - Search - Prospecting - B,Chile,155
Program - SysEng - Run 21 - Search - Lead Gen - US,"Vermont, United States",113
Program - SysEng - Run 21 - Search - Lead Gen - US,"Florida, United States","3,548"
Program - SysEng - Run 24 - Search - Remarketing - A,Germany,3
Sysengx - Run 4 - Other A - Remarketing,South Korea,0
Lifetime Campaign - System Engineering - C (Run 12 SU21),Indonesia,0
Syseng - FL18 - Other B,Palau,0
System Engineering - SP19 - US - Exact,"New Hampshire, United States",0
Syseng - FL18 - Other B,Brazil,0
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,United States,"21,430"
Sysengx - Run 4 - Other A - Remarketing,United Kingdom,0
Syseng - FL18 - Other B,Honduras,0
Program - SysEng - Run 26 - Search - Prospecting - A,Norway,132
Syseng - FL18 - Other B,Guernsey,0
Program - SysEng - Run 26 - Search - Prospecting - B,Colombia,196
Program - SysEng - Run 22 - Search - Lead Gen - B,Hungary,149
Lifetime Campaign - System Engineering - C (Run 12 SU21),India,0
System Engineering - SP19 - US - Phrase,"Maryland, United States",0
System Engineering - FL18 - Other B - Revamped,Colombia,0
System Engineering - FL18 - Other B - Revamped,Peru,0
Syseng - FL18 - Other B,Bulgaria,0
System Engineering - SP19 - US - Phrase,"California, United States",0
System Engineering - SP19 - US - Phrase,"Massachusetts, United States",0
Syseng - FL18 - Other B,Equatorial Guinea,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Hong Kong,120
Sysengx - Run 4 - Other A - Remarketing,Switzerland,0
System Engineering - SP19 - US - BMM,"New Hampshire, United States",0
Syseng - FL18 - Other B,Ghana,0
System Engineering - SP19 - US - Phrase,"Pennsylvania, United States",0
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,"Toronto, Ontario, Canada","1,142"
Program - SysEng - Run 24 - Search - Remarketing - B,Colombia,19
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,China,"2,515"
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Israel,376
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,"Winnipeg, Manitoba, Canada",91
Program - SysEng - Run 21 - Search - Lead Gen - US,"New York, United States","4,407"
Syseng - FL18 - Other B,Reunion,0
Syseng - FL18 - Other B,Eritrea,0
System Engineering - SP19 - US - Exact,"Connecticut, United States",0
Syseng - FL18 - Other B,Martinique,0
