Campaign,Targeted location,Clicks
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Germany,0
Program - MLx - Run 14 - Search - Prospecting - B,Russia,0
Program - MLx - Run 14 - Search - Prospecting - A,Mexico,0
Program - MLx - Run 14 - Search - Prospecting - A,Germany,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Argentina,0
Program - MLx - Run 14 - Search - Prospecting - B,Croatia,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Thailand,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Saudi Arabia,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"West Virginia, United States",0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Slovakia,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Poland,0
Program - MLx - Run 14 - Search - Prospecting - B,Morocco,0
Program - MLx - Run 14 - Search - Prospecting - B,Bolivia,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Thailand,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Poland,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Ghana,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Iceland,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Israel,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"North Dakota, United States",0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Chile,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Chile,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Ghana,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Israel,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,New Zealand,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Taiwan,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),China,0
Program - MLx - Run 14 - Search - Prospecting - B,Peru,0
Program - MLx - Run 14 - Search - Prospecting - B,Chile,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Luxembourg,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,China,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Saudi Arabia,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Japan,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Wisconsin, United States",0
Program - MLx - Run 14 - Search - Prospecting - B,Thailand,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Ecuador,0
Program - MLx - Run 14 - Search - Prospecting - B,Colombia,0
Program - MLx - Run 14 - Search - Prospecting - B,China,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Spain,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Switzerland,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Croatia,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),United Kingdom,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Singapore,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Germany,0
Program - MLx - Run 14 - Search - Prospecting - A,South Korea,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Tennessee, United States",0
Program - MLx - Run 14 - Search - Prospecting - B,Saudi Arabia,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Oregon, United States",0
Program - MLx - Run 14 - Search - Prospecting - A,Sweden,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Singapore,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Slovakia,0
Program - MLx - Run 14 - Search - Prospecting - B,Ghana,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Belgium,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Netherlands,0
Program - MLx - Run 14 - Search - Prospecting - B,Portugal,0
