Campaign,Hour of the day,Clicks
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,15,82
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,16,81
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,17,71
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,18,73
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,19,72
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,20,78
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,21,106
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,22,71
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,23,76
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,0,86
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,1,83
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,2,115
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,3,119
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,4,110
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,5,111
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,6,127
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,7,140
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,8,130
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,9,125
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,10,136
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,11,135
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,12,143
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,13,145
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,14,151
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,15,166
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,16,102
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,17,102
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,18,82
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,19,73
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,20,84
