Location report
All time
Location,Campaign,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Bolivia,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,759,"42,765",1.77%,USD,0.29,223.46,2.24%,17.00,13.14
Taiwan,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,709,"95,480",0.74%,USD,0.33,231.99,1.97%,14.00,16.57
Saudi Arabia,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"1,474","118,946",1.24%,USD,0.35,521.84,0.47%,7.00,74.55
Finland,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,448,"22,047",2.03%,USD,0.91,407.22,2.23%,10.00,40.72
New Zealand,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,520,"21,937",2.37%,USD,0.99,514.48,2.88%,15.00,34.30
Canada,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,"2,457","97,498",2.52%,USD,1.21,2965.72,2.60%,64.00,46.34
South Korea,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,"5,410","499,357",1.08%,USD,0.83,4505.64,2.07%,112.00,40.23
Switzerland,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,649,"24,017",2.70%,USD,1.20,777.89,2.31%,15.00,51.86
United Kingdom,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,"4,333","213,212",2.03%,USD,1.20,5199.67,2.24%,97.00,53.60
Netherlands,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,-15%,"1,524","89,137",1.71%,USD,0.96,1465.57,2.49%,38.00,38.57
Luxembourg,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,216,"9,154",2.36%,USD,1.02,219.34,2.78%,6.00,36.56
Japan,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,-15%,"1,449","175,636",0.83%,USD,0.93,1346.78,1.24%,18.00,74.82
Slovakia,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,-15%,889,"49,406",1.80%,USD,0.59,520.81,0.56%,5.00,104.16
Germany,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,"3,094","161,653",1.91%,USD,1.01,3129.32,2.04%,63.00,49.67
Spain,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,-10%,"2,935","252,703",1.16%,USD,0.90,2655.14,1.47%,43.00,61.75
Iceland,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,188,"6,090",3.09%,USD,0.92,172.30,1.60%,3.00,57.43
