Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Cost,llm_relevance_score,Clicks
Phrase match,C,Friday,0,Aug,0,31,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,4.55,5,8
Broad match,A,Friday,0,Jul,0,87,3.713572066704308,3.3041656155645724,3.2392548211042844,0.38946476676172326,0.011127564764620701,49.0,4.48,21.42,6.29,5,4
Broad match,USA,Wednesday,0,Mar,0,19,4.2626798770413155,4.494356528290166,4.461244745824252,-0.19867069479548416,0.01702891669675551,62.0,1.63,5.06,3.37,4,1
Broad match,USA,Tuesday,0,Jul,0,62,5.14166355650266,4.494356528290166,4.461244745824253,-0.2481796294755343,-0.008505387547302469,60.0,2.7,11.07,21.77,5,2
Phrase match,B,Sunday,1,Sep,0,1,4.948759890378168,4.152395128935653,4.282012557033654,-0.33085424431698973,-0.08556634841137165,17.0,5.22,34.91,19.03,4,11
Broad match,USA,Monday,0,Apr,0,7,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,0.0,0.0,2.47,3,1
Exact match,A,Wednesday,0,Jul,0,61,3.044522437723423,2.958801638335647,3.001662038029535,-0.6466271649250523,-0.0812477445103867,49.0,2.51,15.17,1.51,4,1
Broad match,B,Thursday,0,Dec,0,67,10.407318772389159,10.007892611890918,9.973864253966857,0.0,0.017500298360945146,8.0,2.64,9.19,10.45,4,10
Phrase match,A,Saturday,1,Mar,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,4,1
Phrase match,C,Tuesday,0,Mar,0,27,2.3978952727983707,3.5271821585581997,3.350763092601099,-0.2795848622191617,0.06847467582012502,32.0,3.34,5.98,2.08,3,2
Phrase match,USA,Wednesday,0,Oct,0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58,4,1
Broad match,USA,Friday,0,Mar,0,17,6.78105762593618,7.434667917515338,7.491976789666424,-0.42267544163297543,-0.058680812408067155,9.0,2.29,18.5,4.78,3,1
Exact match,USA,Saturday,1,Dec,0,65,2.3978952727983707,3.044522437723423,3.0016620380295347,0.0,0.04429762080038399,45.0,0.0,0.0,1.67,4,1
Broad match,USA,Sunday,1,Nov,0,71,3.9318256327243257,4.494356528290166,4.5026080174035075,-0.44685032427101845,-0.018425316085463588,75.0,2.4,9.08,3.61,5,1
Phrase match,USA,Thursday,0,Dec,0,51,4.948759890378168,4.052085735315161,4.102240432125407,0.21825356602001778,-0.07778745082295542,17.0,5.22,34.91,162.46,4,40
Broad match,A,Wednesday,0,Sep,0,12,5.968707559985366,5.9062498387885976,5.870114173943204,0.4044261469757453,0.04169412174767409,22.0,2.37,9.89,13.12,4,6
Phrase match,B,Friday,0,Sep,0,17,4.709530201312334,6.175982510173576,5.521538413986401,-0.4047718671791882,0.39572726072263587,18.0,2.13,5.94,0.67,4,1
Phrase match,USA,Thursday,0,Nov,0,81,2.3978952727983707,3.044522437723423,3.044522437723423,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,6.28,5,1
Broad match,A,Friday,0,Mar,0,10,4.2626798770413155,4.640323322910606,4.674394580961008,0.23922968906583453,-0.04055654660294412,16.0,1.08,4.83,0.64,4,1
Phrase match,USA,Saturday,1,Sep,0,16,3.713572066704308,4.853574653042442,4.748440644711474,0.0,0.040728195119078714,82.0,2.83,8.0,12.36,4,1
Phrase match,B,Sunday,1,Sep,0,22,7.3783837129967145,7.7058055116436455,7.7058055116436455,0.0,0.01334315735616104,71.0,5.55,26.71,1.85,5,1
Phrase match,USA,Wednesday,0,Apr,0,173,2.3978952727983707,2.613437661106721,2.505666466952546,0.6466271649250523,0.09237530927500741,21.0,0.0,0.0,18.19,5,3
Phrase match,C,Tuesday,0,Jul,0,76,4.709530201312334,4.723049866069117,4.828183874400086,0.23922968906583453,-0.040069106128107934,18.0,2.13,5.94,1.35,4,3
Broad match,C,Wednesday,0,Oct,0,110,3.713572066704308,4.2626798770413155,4.207537502988483,0.0,0.04726489204528397,82.0,2.83,8.0,0.7,4,1
Broad match,USA,Friday,0,Aug,0,24,5.14166355650266,4.345406420199827,4.419881474244996,0.0,-0.026948845234916627,60.0,2.7,11.07,12.53,5,3
Phrase match,B,Saturday,1,Dec,0,107,2.3978952727983707,2.613437661106721,2.505666466952546,0.0,0.018475061855001324,63.0,2.97,11.89,0.82,4,2
Phrase match,USA,Sunday,1,Feb,0,43,5.771441123130016,6.3818160174060985,6.3818160174060985,0.0,0.0,27.0,6.37,37.94,21.37,4,9
Broad match,C,Wednesday,0,Sep,0,26,3.044522437723423,3.5271821585581997,3.3973605696376254,0.2795848622191617,0.04451025905848238,78.0,2.95,8.71,5.91,5,12
Broad match,A,Tuesday,0,Sep,0,6,3.713572066704308,4.656826301137289,4.802793095757729,0.4379003838613187,-0.050045758155579136,82.0,2.83,8.0,2.04,4,1
Broad match,USA,Thursday,0,Apr,0,172,2.3978952727983707,2.613437661106721,2.505666466952546,0.6466271649250523,0.09237530927500741,21.0,0.0,0.0,5.34,5,1
Broad match,A,Saturday,1,Dec,0,49,4.2626798770413155,4.787351088110614,4.78831225955578,-0.6308040499858105,0.0018233400722210457,8.0,1.65,10.94,1.4,3,1
Exact match,USA,Tuesday,0,Jan,0,76,3.9318256327243257,4.70846583901141,4.504905538018701,-0.2481796294755343,0.08688965834786543,75.0,2.4,9.08,35.55,5,1
Exact match,USA,Monday,0,Aug,0,28,5.351858133476067,5.351858133476067,5.387301845783838,0.0,-0.018228194901139725,46.0,2.69,10.75,4.58,4,1
Phrase match,A,Monday,0,Aug,0,28,5.771441123130016,6.244516852539207,6.244315025402531,0.0,0.011941494534313327,27.0,6.37,37.94,26.15,4,9
Phrase match,B,Monday,0,Apr,0,0,3.9318256327243257,4.301345237025992,4.0802098405384895,-0.33085424431698973,0.08175814661825871,32.0,4.39,14.7,11.7,4,13
Exact match,A,Wednesday,0,Jan,0,75,3.9318256327243257,4.928303371717292,5.137502704041413,-0.19867069479548416,-0.07223823289309483,77.0,2.84,9.17,2.18,4,1
Exact match,USA,Thursday,0,Oct,0,107,5.351858133476067,5.6315801265787,5.491719130027383,0.0,0.095904683349474,46.0,2.69,10.75,4.01,4,1
Broad match,USA,Monday,0,Dec,0,56,3.713572066704308,4.042110380829989,4.152395128935653,0.0,-0.0756238272724548,82.0,2.83,8.0,11.82,4,3
Exact match,B,Saturday,1,Jan,0,7,3.4339872044851463,5.217492052443434,5.147427193452299,0.4030982430978982,0.04705642268826934,82.0,4.15,11.06,4.02,4,2
Exact match,USA,Saturday,1,Apr,0,170,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,30.0,3.38,9.12,8.41,5,1
Phrase match,B,Tuesday,0,Jan,0,6,5.351858133476067,5.422745558091609,5.528119768675038,0.0,-0.0781686219945607,46.0,2.69,10.75,3.72,4,2
Broad match,B,Thursday,0,Mar,0,32,5.351858133476067,5.422745558091609,5.45818927039938,-0.21266227384662706,-0.030380324835232477,46.0,2.69,10.75,3.87,4,4
Phrase match,A,Friday,0,Jul,0,73,4.948759890378168,4.8690166606895575,4.829145045845252,0.0,0.020505401919928664,68.0,5.32,17.99,2.04,4,1
Phrase match,A,Wednesday,0,Jan,1,96,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,3.02,5,3
Broad match,A,Thursday,0,Aug,0,32,3.9318256327243257,4.577083071448678,4.722088694623952,0.0,-0.11094981069910112,61.0,2.59,7.15,14.41,4,5
Phrase match,A,Saturday,1,Mar,0,9,3.9318256327243257,4.301345237025991,4.135352214591321,-0.44685032427101845,0.08536784010925946,32.0,4.39,14.7,3.07,4,2
Broad match,A,Thursday,0,Jan,0,16,5.968707559985366,5.281793274484932,5.35226941628827,0.21019457697340638,-0.02409274299333863,50.0,4.64,49.99,5.95,4,3
Exact match,USA,Wednesday,0,Aug,0,26,2.3978952727983707,3.044522437723423,3.1743440266439973,0.0,-0.06676538858772409,50.0,2.96,10.95,5.49,5,1
Broad match,B,Wednesday,0,Jan,0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,4,3
Exact match,A,Wednesday,0,Jan,0,68,3.044522437723423,2.3978952727983707,2.613437661106721,0.0,-0.11085037113000873,47.0,3.79,12.29,5.31,5,1
Broad match,B,Tuesday,0,Aug,0,41,2.3978952727983707,3.8966080034833106,3.535476015063654,0.5491078103370075,0.19484748224869625,69.0,2.9,8.9,0.23,5,1
Exact match,USA,Wednesday,0,Jul,0,82,5.968707559985366,5.837196602081799,5.9029520810335825,0.0,-0.045089471281223016,33.0,2.37,7.22,10.82,4,1
Broad match,B,Tuesday,0,Oct,0,116,3.4339872044851463,5.077362334461163,5.077362334461163,0.0,1.1976195368092883e-16,82.0,4.15,11.06,0.84,4,1
Exact match,USA,Tuesday,0,Sep,0,27,3.9318256327243257,4.560580093221994,4.746948987976524,0.44685032427101845,-0.10686992679515775,63.0,3.61,11.34,12.77,4,1
Exact match,A,Friday,0,Mar,0,38,3.713572066704308,4.577083071448678,4.5357197998694225,-0.19867069479548416,0.009919928538160878,82.0,2.83,8.0,0.85,4,1
Broad match,A,Sunday,1,Feb,0,57,8.188966863648876,7.513469340738227,7.411343987786769,0.40525688322453846,0.0756791462735804,17.0,7.86,43.44,21.13,4,13
Broad match,B,Tuesday,0,Aug,0,34,7.972810784121404,7.846697325521304,7.909754054821353,0.0,-0.04323890009146269,20.0,2.31,6.74,15.82,5,10
Broad match,USA,Saturday,1,Jan,0,16,3.9318256327243257,4.042110380829989,4.235121672094164,0.0,-0.10398721349823019,77.0,2.84,9.17,15.77,4,3
Broad match,USA,Saturday,1,Jan,0,30,5.14166355650266,5.077362334461163,5.179577804473047,0.19290366612449183,-0.05256795600611217,84.0,7.06,34.92,4.87,5,1
Broad match,USA,Thursday,0,Aug,0,46,5.564520407322694,5.564520407322694,5.599007193290581,0.0,-0.01773606135491305,6.0,0.97,16.08,12.61,3,1
Exact match,A,Monday,0,Mar,0,28,2.3978952727983707,3.5271821585581997,3.573779635594727,-0.2795848622191617,-0.023964416761642272,50.0,2.96,10.95,3.48,5,1
Broad match,B,Friday,0,Dec,0,45,6.78105762593618,6.866189061522206,6.790220262287321,-0.12769715337904053,0.0317726879848529,9.0,4.09,16.17,1.13,3,1
Broad match,USA,Thursday,0,Nov,0,74,3.044522437723423,3.96935919215665,3.877841223767149,-0.5491078103370075,0.047066383743172145,53.0,4.25,18.02,5.62,5,1
Broad match,A,Friday,0,Jan,0,94,3.9318256327243257,4.640323322910606,4.794541606644387,0.44685032427101845,-0.09298252815256376,61.0,2.59,7.15,3.41,4,1
Exact match,USA,Wednesday,0,Jun,0,96,4.2626798770413155,5.211728415493796,5.183702471897342,0.0,3.24316903706033e-16,5.0,0.05,3.51,8.1,3,2
Exact match,USA,Saturday,1,Oct,0,112,3.9318256327243257,3.9318256327243257,3.9919556840197434,0.0,-0.07648330865550271,75.0,2.4,9.08,18.77,5,2
Broad match,A,Monday,0,Aug,0,28,6.3818160174060985,6.514364763991999,6.481227577345524,0.19882311987885082,0.005680660567967363,73.0,4.2,46.65,21.45,5,12
Phrase match,B,Thursday,0,Jul,0,60,5.771441123130016,6.244516852539207,6.210192061322484,0.0,0.005884249922866328,76.0,4.02,14.77,0.79,5,1
Phrase match,USA,Monday,0,Apr,0,0,5.14166355650266,5.702467551194242,5.667980765226354,0.20692071580732208,0.005912020451637844,74.0,3.56,14.41,9.07,5,1
Phrase match,USA,Wednesday,0,Aug,0,40,2.3978952727983707,3.044522437723423,2.9367512435692475,0.0,0.09237530927500734,21.0,0.0,0.0,4.5,5,1
Exact match,USA,Monday,0,Nov,1,147,2.3978952727983707,2.613437661106721,2.613437661106721,-0.6466271649250523,-0.03695012371000289,32.0,2.95,8.48,7.74,3,2
Broad match,A,Sunday,1,Jun,1,99,8.38958706681109,8.188966863648876,8.145735647743383,0.0,0.02161560795274698,51.0,4.08,26.03,4.84,5,2
Phrase match,A,Thursday,0,Aug,0,39,3.044522437723423,3.3041656155645724,3.3041656155645716,0.38946476676172326,0.022255129529241403,50.0,3.75,9.14,8.82,4,2
Broad match,C,Friday,0,Nov,0,150,2.3978952727983707,2.613437661106721,2.613437661106721,-0.6466271649250523,0.0,46.0,2.58,5.22,1.79,5,3
Exact match,USA,Monday,0,Sep,0,14,3.4339872044851463,5.352680699100474,5.110848679895016,0.21019457697340638,0.11221862280014278,82.0,4.15,11.06,23.74,4,1
Phrase match,USA,Sunday,1,Mar,0,29,3.713572066704308,4.577083071448678,4.5357197998694225,-0.19867069479548416,0.009919928538160878,82.0,2.83,8.0,7.95,4,1
Exact match,A,Monday,0,Aug,0,35,3.9318256327243257,3.8590744440509863,4.184966975283918,0.21825356602001778,-0.16760187320550757,75.0,2.4,9.08,6.78,5,1
Broad match,B,Tuesday,0,Jul,0,69,3.044522437723423,3.1743440266439973,3.3973605696376254,0.38946476676172326,-0.07646281474067233,78.0,2.95,8.71,3.29,5,3
Phrase match,USA,Sunday,1,Aug,0,43,4.709530201312334,5.831247938972542,5.277148902520829,0.8091980141549335,0.3808626627379163,18.0,2.13,5.94,12.33,4,2
Broad match,USA,Monday,0,Feb,0,42,3.713572066704308,4.428132963358339,4.469496234937594,0.0,-0.007090846556443819,72.0,3.28,16.4,7.25,5,1
Exact match,B,Tuesday,0,Nov,0,88,5.351858133476067,5.702467551194242,5.527162842335155,-0.20692071580732208,0.07833266650996935,46.0,2.69,10.75,9.1,4,3
Broad match,A,Thursday,0,Dec,1,39,3.044522437723423,3.044522437723423,3.2858522981408114,0.0,-0.10813622180213339,78.0,2.95,8.71,2.94,5,2
Broad match,B,Thursday,0,Dec,0,58,5.968707559985366,5.352680699100474,5.35226941628827,-0.21019457697340638,-0.023951731743440154,50.0,4.64,49.99,1.61,4,1
Phrase match,C,Tuesday,0,Aug,0,34,3.713572066704308,4.853574653042442,4.71532886224556,-0.43213335519032636,0.08245044639813875,82.0,2.83,8.0,1.29,4,1
Broad match,USA,Thursday,0,Feb,0,39,2.3978952727983707,2.3978952727983707,2.6134376611067216,0.0,-0.14780049484001193,63.0,2.4,7.15,15.44,4,1
Phrase match,A,Thursday,0,Jan,0,9,5.771441123130016,6.3818160174060985,6.347491226189376,0.0,0.029421249614333674,27.0,6.37,37.94,4.07,4,1
Broad match,B,Thursday,0,Jul,0,81,3.9318256327243257,5.211728415493796,5.107555578607993,-0.21019457697340638,0.07660878714686406,77.0,2.84,9.17,0.56,4,1
Broad match,USA,Wednesday,0,Dec,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06,4,1
Broad match,USA,Friday,0,Jul,0,59,8.999742789830492,9.066625540261166,9.133508290691841,0.0,-0.045862457438176664,6.0,1.88,10.84,18.93,3,4
Exact match,B,Sunday,1,Aug,0,50,5.351858133476067,5.351858133476067,5.387301845783838,0.0,-0.018228194901139725,46.0,2.69,10.75,0.79,4,2
Phrase match,A,Thursday,0,Jul,0,88,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,46.0,2.58,5.22,5.43,5,1
Broad match,B,Wednesday,0,Nov,0,75,5.351858133476067,5.564520407322694,5.493087339179471,0.0,0.060713177311025775,46.0,2.69,10.75,2.66,4,3
Phrase match,A,Friday,0,Nov,0,150,5.968707559985366,7.450019383680012,6.610730253405014,1.0113358354675173,0.6044078560590708,33.0,2.37,7.22,1.07,4,1
Broad match,A,Tuesday,0,Dec,0,34,5.968707559985366,5.906249838788597,6.109708136880626,0.0,-0.11597726185735192,50.0,4.64,49.99,0.5,4,1
Phrase match,A,Friday,0,Feb,0,59,4.948759890378168,4.042110380829989,4.047098058072575,0.33085424431698973,0.0038692333207825088,17.0,5.22,34.91,53.91,4,17
Exact match,C,Saturday,1,Feb,0,44,2.3978952727983707,3.044522437723423,2.828980049415072,0.0,0.1478004948400118,53.0,3.32,14.88,7.89,5,1
Exact match,USA,Sunday,1,Sep,0,22,5.968707559985366,5.771441123130015,5.8371966020818,0.0,-0.04508947128122254,33.0,2.37,7.22,3.92,4,1
Phrase match,A,Sunday,1,Aug,0,57,3.9318256327243257,4.560580093221994,4.714798376955775,-0.44685032427101845,-0.11851683239662185,77.0,2.84,9.17,4.81,4,2
Broad match,USA,Thursday,0,Mar,0,25,4.2626798770413155,4.345406420199827,4.290264046146995,0.2481796294755343,0.0756282782710596,62.0,1.63,5.06,12.96,4,2
Exact match,USA,Tuesday,0,Oct,0,160,3.9318256327243257,4.301345237025991,4.2268701829808215,0.44685032427101845,0.0638357606101459,75.0,2.4,9.08,35.39,5,3
Exact match,USA,Thursday,0,Sep,0,25,5.351858133476067,5.281793274484932,5.35226941628827,0.0,-0.03638588417732962,46.0,2.69,10.75,122.95,4,5
Exact match,USA,Sunday,1,Aug,0,43,3.044522437723423,3.8590744440509863,4.251190540215746,0.21825356602001778,-0.21301231773018967,53.0,4.25,18.02,16.65,5,1
Exact match,B,Sunday,1,Jul,0,78,3.713572066704308,4.709530201312334,4.417183562650417,0.0,0.18343734981427284,82.0,2.83,8.0,0.28,4,1
Phrase match,B,Tuesday,0,Aug,0,48,3.044522437723423,3.3973605696376254,3.50886884113444,-0.38946476676172326,-0.07960224058474571,50.0,3.75,9.14,0.37,4,1
Broad match,C,Wednesday,0,Oct,0,96,2.3978952727983707,3.044522437723423,3.044522437723423,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,0.29,5,1
Broad match,A,Monday,0,Dec,0,63,4.948759890378168,5.077362334461163,5.109512945481911,0.0,-0.005511533317842715,59.0,4.24,23.27,9.47,5,6
Broad match,B,Saturday,1,Oct,0,119,3.4339872044851463,5.077362334461163,5.077362334461163,0.0,1.1976195368092883e-16,82.0,4.15,11.06,3.82,4,4
Broad match,B,Wednesday,0,Nov,0,89,3.9318256327243257,4.079643940262312,3.886386120783453,-0.5491078103370075,0.05554051422586925,75.0,2.4,9.08,1.69,5,1
Broad match,USA,Tuesday,0,Aug,0,41,6.3818160174060985,6.514364763991999,6.481227577345524,0.19882311987885082,0.005680660567967363,73.0,4.2,46.65,35.33,5,5
Exact match,USA,Saturday,1,Mar,0,16,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,4.69,5,1
Broad match,USA,Saturday,1,Mar,0,23,5.968707559985366,6.175867270105761,6.072287415045564,0.0,0.05326963974524453,22.0,2.37,9.89,5.93,4,1
Phrase match,A,Monday,0,Jan,1,33,2.3978952727983707,2.828980049415072,2.721208855260897,0.6466271649250523,0.018475061855001387,51.0,3.53,8.78,2.73,5,2
Broad match,A,Sunday,1,Jul,0,64,5.14166355650266,5.564520407322694,5.493632982707151,0.0,0.048608519736371605,6.0,3.98,16.2,20.26,3,8
Broad match,USA,Thursday,0,Mar,0,18,5.351858133476067,5.422745558091609,5.45818927039938,-0.21266227384662706,-0.030380324835232477,46.0,2.69,10.75,241.64,4,28
Phrase match,USA,Monday,0,Nov,0,133,2.3978952727983707,2.613437661106721,2.613437661106721,-0.6466271649250523,0.0,46.0,2.58,5.22,15.91,5,1
Exact match,USA,Tuesday,0,Nov,0,76,3.044522437723423,4.162370483420825,4.047098058072575,-0.7972874398125418,0.027905372445556534,53.0,4.25,18.02,34.29,5,3
Broad match,B,Monday,0,Nov,0,75,5.771441123130016,5.9029520810335825,5.902991913419094,0.0,-0.02368222385127638,71.0,4.48,23.06,2.49,5,3
Exact match,USA,Wednesday,0,Jul,0,68,3.4339872044851463,4.643306636380506,4.71532886224556,-0.19867069479548416,-0.07308594758693145,82.0,4.15,11.06,13.76,4,2
Broad match,USA,Sunday,1,Nov,0,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44,4,2
Broad match,B,Friday,0,Feb,0,3,10.407318772389159,10.007892611890918,10.007892611890918,0.0,4.790478147237153e-16,8.0,2.64,9.19,0.83,5,2
Phrase match,USA,Monday,0,Dec,1,40,2.3978952727983707,2.3978952727983707,1.998246060665309,0.0,0.2055338805255746,21.0,0.0,0.0,12.44,5,2
Broad match,A,Sunday,1,Mar,0,22,3.4339872044851463,3.8966080034833106,3.96935919215665,0.5491078103370075,0.012868648948225314,41.0,3.09,16.09,0.92,3,1
Broad match,A,Thursday,0,Jul,0,67,7.3783837129967145,6.866189061522206,6.844906202625698,0.0,0.025539430675807946,12.0,1.27,8.12,16.03,3,10
Exact match,C,Saturday,1,Apr,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,4,2
Broad match,B,Thursday,0,Aug,0,46,4.2626798770413155,4.789273431000946,4.829145045845251,0.0,-0.03417566986654777,8.0,1.65,10.94,2.63,3,2
Phrase match,A,Saturday,1,Apr,0,2,5.14166355650266,5.493632982707151,5.387713128596041,0.21266227384662706,0.042461949144376475,27.0,4.31,18.99,1.45,4,2
Broad match,A,Saturday,1,Dec,0,63,5.968707559985366,5.968707559985366,5.937478699386982,0.0,0.03917062242063969,22.0,2.37,9.89,3.12,4,3
Broad match,B,Friday,0,Dec,0,38,4.709530201312334,4.789273431000946,4.789273431000946,-0.23922968906583453,-0.013670267946619108,18.0,2.13,5.94,0.24,4,1
Broad match,A,Monday,0,Sep,0,7,3.713572066704308,3.4339872044851467,3.3041656155645716,0.0,0.0667653885877239,49.0,4.48,21.42,40.55,5,10
Broad match,USA,Wednesday,0,Nov,0,68,5.968707559985366,6.1097081368806245,6.177112494709916,-0.4044261469757453,-0.057775163853678264,50.0,4.64,49.99,2.17,4,1
Broad match,A,Monday,0,Jul,1,84,4.51085950651685,4.643306636380506,4.608703197179643,-0.19867069479548416,0.03146632239277801,84.0,1.21,32.23,2.67,5,1
Phrase match,C,Saturday,1,Mar,0,9,5.351858133476067,5.421654271036247,5.797169511727404,-0.41958298965394913,-0.1811110050998291,46.0,2.69,10.75,6.36,4,2
Phrase match,USA,Friday,0,Jul,0,73,5.968707559985366,5.837196602081799,5.9029520810335825,0.0,-0.045089471281223016,33.0,2.37,7.22,2.82,4,1
Broad match,B,Friday,0,Aug,0,38,3.044522437723423,3.1743440266439973,3.2858522981408114,-0.38946476676172326,-0.03509198152626327,49.0,2.51,15.17,4.29,4,2
Broad match,B,Wednesday,0,Aug,0,47,4.948759890378168,5.763091084482266,5.698292531870368,0.0,0.08039754947564094,71.0,2.97,9.15,3.1,5,4
Exact match,USA,Tuesday,0,Dec,0,62,2.3978952727983707,3.044522437723423,3.0016620380295347,0.0,0.04429762080038399,45.0,0.0,0.0,5.1,4,1
Phrase match,A,Saturday,1,Jul,0,65,3.044522437723423,3.6203771126312545,3.573779635594727,-0.2795848622191617,0.023964416761642512,50.0,3.75,9.14,2.71,4,1
Broad match,C,Thursday,0,Sep,0,25,4.948759890378168,5.211728415493796,5.317236986792703,0.21019457697340638,-0.05440256220362163,71.0,2.97,9.15,3.4,5,6
Broad match,B,Thursday,0,Feb,0,53,5.968707559985366,6.106814033398963,6.072287415045563,0.0,0.017756546581747818,22.0,2.37,9.89,3.5,4,2
Exact match,B,Friday,0,Jun,0,94,5.351858133476067,5.633493979258468,5.630928006426589,-0.20692071580732208,0.013471773104773384,46.0,2.69,10.75,0.9,4,1
Exact match,USA,Monday,0,Nov,1,147,2.3978952727983707,2.613437661106721,2.613437661106721,0.6466271649250523,1.7964293052139324e-16,53.0,3.32,14.88,29.7,5,1
Exact match,C,Tuesday,0,Jul,0,90,3.713572066704308,4.152395128935652,4.24890077456774,0.0,-0.016543824965500685,82.0,2.83,8.0,1.2,4,1
Broad match,C,Wednesday,0,Jul,0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,4,1
Broad match,A,Monday,0,Aug,0,35,3.713572066704308,3.450574917496054,3.61844908643685,0.0,-0.16841591576029044,17.0,2.24,11.08,2.97,4,1
Broad match,C,Monday,0,Jul,0,56,3.713572066704308,4.853574653042442,4.715328862245561,0.43213335519032636,0.0844385587181019,82.0,2.83,8.0,1.09,4,2
Exact match,C,Saturday,1,Mar,0,23,3.044522437723423,2.613437661106721,2.613437661106721,0.6466271649250523,1.7964293052139324e-16,47.0,3.79,12.29,4.54,5,1
Phrase match,USA,Saturday,1,Mar,0,23,3.044522437723423,2.613437661106721,2.786119649721184,0.6466271649250523,-0.11106300938810797,70.0,2.76,11.6,11.17,5,1
Exact match,B,Monday,0,Jun,0,98,5.351858133476067,5.422745558091609,5.422199914563929,0.0,0.00013960542148012768,46.0,2.69,10.75,6.22,4,2
Phrase match,C,Sunday,1,Mar,0,29,3.9318256327243257,4.802793095757729,5.177374318885719,0.0,-0.2631780823076775,77.0,2.84,9.17,4.07,4,6
Broad match,A,Tuesday,0,Nov,0,76,3.9318256327243257,4.428132963358338,4.5026080174035075,-0.2481796294755343,-0.052483149478974846,61.0,2.59,7.15,1.22,4,1
Phrase match,B,Monday,0,Jun,0,105,5.771441123130016,5.702467551194242,5.769510267339621,0.20692071580732208,-0.06014535895180163,23.0,4.71,15.24,3.46,3,3
Phrase match,A,Monday,0,Dec,0,112,5.968707559985366,6.098062578372862,6.459274501725402,1.8190303450364382,-0.0756869253074995,50.0,4.64,49.99,2.38,4,2
Exact match,USA,Sunday,1,Jul,0,71,5.771441123130016,5.968707559985366,6.003234178338765,0.0,-0.029594244302913988,14.0,2.48,9.22,55.75,5,3
Broad match,A,Sunday,1,Aug,0,50,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,51.0,3.53,8.78,0.99,5,1
Broad match,B,Saturday,1,Apr,0,2,6.3818160174060985,7.15267565694148,6.900060478555087,0.26213369919728446,0.12951199197968935,73.0,4.2,46.65,6.47,5,5
Broad match,B,Tuesday,0,Dec,0,41,6.90875477931522,6.90875477931522,6.811503121183828,0.0,0.05001513846757263,3.0,3.06,14.25,2.22,5,2
Broad match,USA,Monday,0,Feb,0,42,7.3783837129967145,7.083510578780078,7.039821628913862,0.26213369919728446,0.037447671313897625,12.0,1.27,8.12,3.46,3,1
Broad match,B,Saturday,1,Jan,0,28,3.9318256327243257,4.640323322910606,4.641814979645556,-0.44685032427101845,-0.028619098808909782,61.0,2.59,7.15,0.49,4,1
Exact match,C,Sunday,1,Jul,0,71,5.771441123130016,6.106814033398963,6.141340651752362,-0.20715971012039525,-0.02959424430291327,14.0,2.48,9.22,0.17,5,1
Phrase match,USA,Wednesday,0,Sep,0,12,3.9318256327243257,4.8690166606895575,4.7561616485350315,0.0,0.08306259961440277,61.0,2.59,7.15,8.98,4,1
Exact match,A,Monday,0,Jun,0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,4,1
Broad match,C,Wednesday,0,Jul,0,75,3.9318256327243257,3.7658794899779324,4.237172664494671,-0.49783842823917945,-0.31888432147708845,75.0,2.4,9.08,7.57,5,13
Exact match,A,Sunday,1,Jan,0,20,0.0,0.7992984242661235,0.39964921213306176,2.3978952727983707,0.3425564675426242,0.0,0.0,0.0,1.11,3,1
Broad match,C,Saturday,1,Nov,0,72,3.9318256327243257,4.042110380829989,3.950592412440488,-0.33085424431698973,0.047066383743172145,32.0,4.39,14.7,2.87,4,6
Broad match,B,Friday,0,Mar,0,24,5.968707559985366,5.562606554642925,5.4576436268717,-0.20692071580732208,0.04196981559815028,50.0,4.64,49.99,3.08,4,3
Phrase match,A,Saturday,1,Nov,0,91,4.948759890378168,4.052085735315161,4.157382806178238,-0.7972874398125418,-0.06662441164501187,17.0,5.22,34.91,12.75,4,11
