day,lambda,budget,n_candidates,n_new_candidates,n_masked,n_real_new,actual_cost,actual_revenue,actual_clicks,actual_profit,profit_old,profit_new,profit_new_raw,profit_total,observed_clicks_total,replay_clicks_total,replay_revenue_total,replay_cost_total,n_old,n_new,profit_improvement,profit_improvement_pct,cost_change,cost_change_pct
2025-12-10,10.0,347.52,637,6,6,5,347.52,4600.0,285.0,4252.48,131.0803614539556,-0.06134264686349587,-0.06134264686349587,131.0190188070921,285.0,18.54489870931652,135.19668737294649,4.1776685658543915,31.0,5.0,-4121.460981192908,-0.9691899741310737,-343.3423314341456,-0.9879786240623435
2025-12-10,100.0,347.52,637,6,6,5,347.52,4600.0,285.0,4252.48,131.55908558209651,276.19648531603224,276.19648531603224,407.7555708981288,285.0,142.85453677089842,2135.1966873737515,1727.4411164756225,31.0,5.0,-3844.7244291018706,-0.9041134653430165,1379.9211164756225,3.970767485254439
2025-12-11,0.0,227.73,637,7,7,6,227.73,2000.0,218.0,1772.27,33.865028258538814,-0.30319493113212403,-0.30319493113212403,33.56183332740669,218.0,9.928364981477403,34.999999999999744,1.4381666725930535,29.0,6.0,-1738.7081666725933,-0.9810627989372913,-226.29183332740695,-0.993684772877561
2025-12-11,10.0,227.73,637,7,7,6,227.73,2000.0,218.0,1772.27,33.865028258539134,-0.3038426927362107,-0.3038426927362107,33.56118556580292,218.0,9.929161821907352,34.999999999999964,1.4388144341970384,29.0,6.0,-1738.7088144341972,-0.9810631644355529,-226.29118556580295,-0.9936819284494927
2025-12-11,100.0,227.73,637,7,7,6,227.73,2000.0,218.0,1772.27,34.17693333053154,-67.75856514630703,-67.75856514630703,-33.581631815775495,218.0,26.788763418293218,435.0000000021365,468.58163181791184,29.0,6.0,-1805.8516318157754,-1.018948372322375,240.85163181791185,1.057619250067676
2025-12-12,0.0,240.51999999999995,637,7,7,7,240.51999999999995,3800.0,242.0,3559.48,90.75950478805228,244.50347390220335,244.50347390220335,335.26297869025564,242.0,18.060480684872267,364.9278588400285,29.66488014977285,31.0,7.0,-3224.2170213097443,-0.9058112480782992,-210.8551198502271,-0.8766635616590186
2025-12-12,10.0,240.51999999999995,637,7,7,7,240.51999999999995,3800.0,242.0,3559.48,118.89950435247454,516.8904703295032,516.8904703295032,635.7899746819777,242.0,14.795838078795226,638.4635981600022,2.673623478024412,31.0,7.0,-2923.6900253180224,-0.8213812200990095,-237.84637652197554,-0.9888839868700132
2025-12-12,100.0,240.51999999999995,637,7,7,7,240.51999999999995,3800.0,242.0,3559.48,118.90560920779814,987.1927607791641,987.1927607791641,1106.0983699869623,242.0,18.46872037945687,1164.9278588647026,58.82948887774012,31.0,7.0,-2453.3816300130375,-0.689252820640385,-181.69051112225984,-0.7554070810005815
2025-12-13,0.0,450.57,637,7,7,6,450.57,2400.0,325.0,1949.43,104.65254902167308,-0.7190356754022599,-0.7190356754022599,103.93351334627083,325.0,15.109133142655168,107.69230769230539,3.7587943460345774,28.0,6.0,-1845.4964866537293,-0.946685178053959,-446.81120565396543,-0.9916576906007178
2025-12-13,10.0,450.57,637,7,7,6,450.57,2400.0,325.0,1949.43,104.6525490216758,-0.7190356754022882,-0.7190356754022882,103.93351334627351,325.0,15.10913314265528,107.69230769230813,3.7587943460346267,28.0,6.0,-1845.4964866537266,-0.9466851780539576,-446.8112056539654,-0.9916576906007177
2025-12-13,100.0,450.57,637,7,7,6,450.57,2400.0,325.0,1949.43,104.65254902214296,-1028.6135110220403,-1028.6135110220403,-923.9609619998973,325.0,157.10913314278451,907.6923076927753,1831.6532696926727,28.0,6.0,-2873.3909619998976,-1.4739646778801483,1381.0832696926727,3.065191356931604
2025-12-14,0.0,524.29,637,6,6,6,524.29,3600.0,353.0,3075.71,65.20546704268673,-0.275308936613685,-0.275308936613685,64.93015810607305,353.0,18.085775179480237,68.69747899407783,3.767320888004776,31.0,6.0,-3010.779841893927,-0.9788893757519165,-520.5226791119952,-0.9928144330656608
2025-12-14,10.0,524.29,637,6,6,6,524.29,3600.0,353.0,3075.71,498.1604836766118,-74.02467239991842,-74.02467239991842,424.1358112766934,353.0,93.08573373991764,682.9831888057455,258.847377529052,31.0,6.0,-2651.5741887233066,-0.862101494849419,-265.442622470948,-0.5062896917182247
2025-12-14,100.0,524.29,637,6,6,6,524.29,3600.0,353.0,3075.71,65.10130037437072,338.3988315774844,338.3988315774844,403.5001319518551,353.0,64.05917018293465,868.6974789924221,465.1973470405671,31.0,6.0,-2672.209868048145,-0.8688107357482159,-59.09265295943288,-0.11270986087743975
2025-12-15,0.0,381.4199999999999,637,7,7,5,381.4199999999999,1800.0,314.0,1418.5800000000002,4.928585378971745,0.0,0.0,4.928585378971745,314.0,14.760859380462364,7.766990291256464,2.8384049122847204,32.0,5.0,-1413.6514146210284,-0.9965256909169932,-378.5815950877152,-0.9925583217652857
2025-12-15,10.0,381.4199999999999,637,7,7,5,381.4199999999999,1800.0,314.0,1418.5800000000002,4.930346944164299,0.0,0.0,4.930346944164299,314.0,14.758282224552152,7.766990291256048,2.8366433470917483,32.0,5.0,-1413.6496530558359,-0.9965244491363446,-378.58335665290815,-0.9925629402047828
2025-12-15,100.0,381.4199999999999,637,7,7,5,381.4199999999999,1800.0,314.0,1418.5800000000002,4.930346944167444,-30.909546882799788,-30.909546882799788,-25.979199938632345,314.0,24.569087908373785,7.766990291259201,33.74619022989155,32.0,5.0,-1444.5591999386324,-1.0183135247491382,-347.67380977010833,-0.9115248538883867
2025-12-16,0.0,367.58000000000004,637,7,7,5,367.58000000000004,2200.0,310.0,1832.42,32.46798459472966,3.6546483127524856,3.6546483127524856,36.12263290748214,310.0,10.521082063579744,38.23313316832248,2.110500260840329,33.0,5.0,-1796.297367092518,-0.9802869249912781,-365.4694997391597,-0.9942583920212189
2025-12-16,10.0,367.58000000000004,637,7,7,5,367.58000000000004,2200.0,310.0,1832.42,32.467984594729714,781.0891935490816,781.0891935490816,813.5571781438114,310.0,28.74531129637441,1041.0359985782575,227.47882043444628,33.0,5.0,-1018.8628218561887,-0.5560203566083042,-140.10117956555376,-0.38114472921691533
2025-12-16,100.0,367.58000000000004,637,7,7,5,367.58000000000004,2200.0,310.0,1832.42,32.46798459900482,692.680661340989,692.680661340989,725.1486459399938,310.0,45.42057013036799,1038.233133171735,313.0844872317415,33.0,5.0,-1107.2713540600062,-0.6042672280699873,-54.49551276825855,-0.14825483641182477
2025-12-17,0.0,335.03000000000003,637,7,7,5,335.03000000000003,3200.0,295.0,2864.97,400.9317859958068,-0.4782755773326137,-0.4782755773326137,400.4535104184742,295.0,16.60705137950288,403.5808350073521,3.127324588877923,30.0,5.0,-2464.5164895815255,-0.8602241871927195,-331.9026754111221,-0.9906655386416802
2025-12-17,10.0,335.03000000000003,637,7,7,5,335.03000000000003,3200.0,295.0,2864.97,398.0004545530507,-0.8493573794009944,-0.8493573794009944,397.1510971736497,295.0,15.837486025757551,400.50391193042367,3.352814756773942,30.0,5.0,-2467.81890282635,-0.8613768740427824,-331.67718524322606,-0.9899924939355462
2025-12-17,100.0,335.03000000000003,637,7,7,5,335.03000000000003,3200.0,295.0,2864.97,398.1963804789756,-220.67103159405914,-220.67103159405914,177.52534888491644,295.0,41.58635578674518,400.5039119304222,222.97856304550575,30.0,5.0,-2687.444651115083,-0.9380358786008521,-112.05143695449428,-0.33445195043576476
2025-12-18,0.0,320.42999999999995,637,7,7,7,320.42999999999995,3800.0,266.0,3479.57,55.85214306316233,-0.5104548018943291,-0.5104548018943291,55.341688261268004,266.0,9.063165756183587,57.142857142857146,1.8011688815891522,30.0,7.0,-3424.2283117387324,-0.9840952507748751,-318.6288311184108,-0.9943789005973562
